return_id,order_id,product_id,return_date,return_reason,refund_amount
R00051,O001324,P0054,2023-12-29,Damaged,33065.52
R00052,O001337,P0005,2024-02-18,Wrong Item,879.02
R00053,O001342,P0098,2024-07-26,Damaged,5566.83
R00054,O001396,P0095,2023-11-23,Customer Changed Mind,6192.26
R00055,O001400,P0072,2024-06-08,Damaged,373.23
R00056,O001514,P0047,2024-03-02,Late Delivery,12429.9
R00057,O001546,P0076,2025-10-08,Damaged,284.64
R00058,O001566,P0070,2023-04-20,Wrong Item,235.21
R00059,O001571,P0106,2025-12-09,Late Delivery,1278.24
R00060,O001660,P0020,2025-07-06,Wrong Item,492.21
R00061,O001672,P0014,2023-08-04,Size/Specification,18591.75
R00062,O001724,P0021,2025-06-12,Customer Changed Mind,9885.34
R00063,O001757,P0004,2023-05-31,Damaged,5108.27
R00064,O001817,P0122,2023-01-21,Damaged,25877.32
R00065,O001818,P0002,2023-06-12,Customer Changed Mind,12596.77
R00066,O001833,P0094,2024-05-12,Late Delivery,6334.61
R00067,O001846,P0011,2024-05-27,Late Delivery,17795.59
R00068,O001847,P0072,2023-10-30,Damaged,1330.07
R00069,O001853,P0085,2024-03-19,Customer Changed Mind,1859.71
R00070,O001918,P0013,2023-07-05,Quality Issue,3334.99
R00071,O001926,P0109,2024-04-18,Damaged,2770.37
R00072,O001934,P0023,2025-01-15,Quality Issue,1015.58
R00073,O001944,P0041,2023-09-12,Quality Issue,47826.03
R00074,O001958,P0009,2023-09-08,Damaged,12285.94
R00075,O001998,P0015,2025-03-02,Customer Changed Mind,8606.37
R00076,O002021,P0097,2024-07-04,Size/Specification,7281.43
R00077,O002031,P0115,2023-06-01,Size/Specification,1050.18
R00078,O002041,P0097,2025-04-17,Damaged,12530.52
R00079,O002058,P0098,2024-08-08,Customer Changed Mind,5479.39
R00080,O002073,P0067,2024-12-06,Quality Issue,1128.7
R00081,O002109,P0094,2023-07-28,Late Delivery,12624.3
R00082,O002116,P0103,2025-12-09,Customer Changed Mind,384.18
R00083,O002124,P0108,2024-03-19,Late Delivery,7526.81
R00084,O002150,P0071,2023-09-25,Late Delivery,426.61
R00085,O002152,P0005,2024-01-02,Size/Specification,395.53
R00086,O002163,P0062,2024-06-29,Quality Issue,1484.79
R00087,O002234,P0132,2025-06-21,Damaged,498.43
R00088,O002242,P0087,2024-07-05,Wrong Item,1498.02
R00089,O002247,P0081,2025-11-30,Customer Changed Mind,423.86
R00090,O002320,P0096,2023-02-21,Damaged,322.79
R00091,O002333,P0111,2025-06-27,Size/Specification,10203.15
R00092,O002360,P0036,2024-08-23,Customer Changed Mind,26047.14
R00093,O002367,P0060,2023-08-24,Size/Specification,24318.13
R00094,O002397,P0053,2023-03-16,Customer Changed Mind,3954.2
R00095,O002460,P0030,2025-07-17,Late Delivery,23938.03
R00096,O002473,P0032,2026-01-05,Wrong Item,829.62
R00097,O002515,P0017,2025-01-05,Late Delivery,18603.87
R00098,O002563,P0088,2023-03-10,Size/Specification,23479.65
R00099,O002591,P0120,2023-03-02,Customer Changed Mind,335.17
R00100,O002664,P0007,2024-03-28,Damaged,23345.71
R00101,O002675,P0007,2025-04-15,Quality Issue,50115.51
R00102,O002698,P0005,2023-11-05,Damaged,2483.27
R00103,O002738,P0007,2023-03-27,Damaged,41774.96
R00104,O002803,P0098,2025-01-05,Damaged,2997.2
R00105,O002820,P0003,2024-05-11,Late Delivery,374.47
R00106,O002897,P0007,2025-04-22,Customer Changed Mind,26435.81
R00107,O002934,P0080,2023-06-19,Size/Specification,1077.85
R00108,O002936,P0126,2025-02-16,Customer Changed Mind,11477.11
R00109,O002967,P0104,2025-04-25,Damaged,170.62
R00110,O003034,P0086,2025-07-29,Customer Changed Mind,6067.64
R00111,O003038,P0021,2024-03-16,Late Delivery,12367.97
R00112,O003041,P0109,2023-07-28,Size/Specification,10173.38
R00113,O003065,P0133,2024-06-06,Size/Specification,240.46
R00114,O003079,P0064,2024-02-10,Wrong Item,1856.31
R00115,O003109,P0101,2024-12-26,Customer Changed Mind,3589.34
R00116,O003158,P0006,2025-04-17,Quality Issue,2747.07
R00117,O003205,P0067,2025-07-11,Size/Specification,251.89
R00118,O003208,P0071,2023-06-25,Size/Specification,846.41
R00119,O003229,P0027,2024-06-15,Customer Changed Mind,1053.82
R00120,O003255,P0025,2024-03-11,Damaged,78456.76
R00121,O003271,P0102,2024-06-11,Size/Specification,5883.4
R00122,O003292,P0110,2023-02-19,Size/Specification,3480.26
R00123,O003300,P0096,2023-07-23,Damaged,320.55
R00124,O003313,P0044,2025-01-14,Wrong Item,11151.55
R00125,O003318,P0016,2024-04-21,Late Delivery,35622.98
R00126,O003335,P0060,2025-05-26,Late Delivery,7408.29
R00127,O003351,P0101,2024-05-02,Wrong Item,7937.01
R00128,O003378,P0137,2026-01-20,Customer Changed Mind,194.34
R00129,O003379,P0023,2024-04-15,Wrong Item,2515.17
R00130,O003387,P0089,2023-09-20,Customer Changed Mind,5198.43
R00131,O003408,P0054,2025-03-17,Late Delivery,24293.9
R00132,O003412,P0076,2024-12-20,Late Delivery,1540.04
R00133,O003438,P0077,2023-07-17,Late Delivery,4467.44
R00134,O003449,P0005,2025-11-16,Wrong Item,414.39
R00135,O003455,P0020,2025-04-19,Late Delivery,1089.14
R00136,O003476,P0066,2025-08-17,Size/Specification,337.86
R00137,O003591,P0140,2025-09-18,Quality Issue,6282.35
R00138,O003603,P0104,2024-03-07,Wrong Item,290.59
R00139,O003620,P0085,2024-01-09,Customer Changed Mind,2910.78
R00140,O003679,P0070,2024-04-20,Wrong Item,392.26
R00141,O003689,P0076,2024-08-10,Customer Changed Mind,2230.89
R00142,O003690,P0022,2023-11-20,Size/Specification,26599.29
R00143,O003715,P0131,2023-04-12,Size/Specification,3139.48
R00144,O003719,P0096,2025-09-17,Size/Specification,273.52
R00145,O003754,P0100,2023-11-05,Wrong Item,248.87
R00146,O003755,P0069,2024-04-14,Size/Specification,12655.36
R00147,O003780,P0044,2025-04-14,Wrong Item,36924.98
R00148,O003795,P0015,2025-03-03,Quality Issue,11189.54
R00149,O003807,P0074,2023-11-27,Wrong Item,723.1
R00150,O003819,P0044,2023-09-12,Damaged,11833.67
R00151,O003838,P0041,2024-08-04,Customer Changed Mind,9456.83
R00152,O003842,P0053,2023-09-22,Customer Changed Mind,8357.31
R00153,O003882,P0012,2023-07-09,Late Delivery,852.73
R00154,O003902,P0078,2024-08-08,Damaged,14786.0
R00155,O003903,P0082,2025-11-11,Wrong Item,11508.41
R00156,O003916,P0020,2023-07-20,Wrong Item,1114.84
R00157,O003931,P0089,2024-12-30,Damaged,8889.11
R00158,O003949,P0086,2023-12-19,Customer Changed Mind,2779.19
R00159,O004035,P0111,2024-11-20,Size/Specification,13160.55
R00160,O004061,P0081,2024-04-17,Quality Issue,1146.93
R00161,O004064,P0078,2025-07-12,Customer Changed Mind,31577.07
R00162,O004073,P0095,2024-12-23,Damaged,1262.95
R00163,O004139,P0061,2024-09-04,Customer Changed Mind,11395.66
R00164,O004148,P0034,2025-01-22,Customer Changed Mind,8832.43
R00165,O004248,P0068,2024-03-10,Late Delivery,19709.34
R00166,O004283,P0012,2023-08-23,Quality Issue,2868.92
R00167,O004318,P0024,2025-09-30,Quality Issue,1047.61
R00168,O004325,P0075,2023-09-04,Quality Issue,902.9
R00169,O004375,P0004,2025-08-25,Quality Issue,2439.62
R00170,O004390,P0062,2023-06-22,Size/Specification,1056.7
R00171,O004534,P0037,2023-10-28,Quality Issue,3344.84
R00172,O004633,P0013,2026-01-04,Customer Changed Mind,4830.34
R00173,O004635,P0038,2023-03-05,Customer Changed Mind,202.57
R00174,O004685,P0071,2024-06-27,Size/Specification,761.63
R00175,O004699,P0010,2023-07-16,Late Delivery,13781.94
R00176,O004726,P0120,2024-01-03,Size/Specification,165.32
R00177,O004747,P0051,2024-07-29,Size/Specification,13598.68
R00178,O004840,P0033,2023-07-02,Size/Specification,846.01
R00179,O004846,P0013,2023-02-16,Customer Changed Mind,3533.13
R00180,O004864,P0108,2025-07-08,Size/Specification,7084.74
R00181,O004876,P0070,2025-02-14,Wrong Item,475.55
R00182,O004910,P0097,2023-11-02,Late Delivery,6484.12
R00183,O004913,P0016,2023-07-21,Customer Changed Mind,35764.0
R00184,O004918,P0108,2023-12-06,Damaged,7653.83
R00185,O004922,P0002,2025-10-11,Damaged,11882.13
R00186,O004978,P0063,2025-01-12,Wrong Item,8702.77
R00187,O004996,P0005,2024-09-08,Damaged,709.63
R00188,O005008,P0056,2023-10-30,Customer Changed Mind,2447.01
R00189,O005028,P0122,2024-03-30,Customer Changed Mind,78208.31
R00190,O005029,P0105,2025-09-20,Customer Changed Mind,4559.23
R00191,O005032,P0006,2024-04-28,Quality Issue,5348.2
R00192,O005040,P0006,2025-07-11,Wrong Item,2228.22
R00193,O005052,P0018,2025-06-16,Wrong Item,860.08
R00194,O005086,P0098,2024-02-12,Customer Changed Mind,12221.57
R00195,O005105,P0058,2025-05-25,Late Delivery,8226.45
R00196,O005135,P0032,2025-05-26,Late Delivery,1616.44
R00197,O005149,P0027,2025-06-15,Late Delivery,585.46
R00198,O005162,P0063,2023-02-12,Customer Changed Mind,7299.72
R00199,O005164,P0049,2024-12-28,Wrong Item,3895.01
R00200,O005184,P0119,2023-12-16,Quality Issue,8558.06
R00201,O005207,P0091,2024-01-27,Late Delivery,25061.3
R00202,O005208,P0115,2025-05-03,Damaged,802.26
R00203,O005215,P0016,2025-03-13,Quality Issue,24531.15
R00204,O005235,P0014,2023-09-05,Size/Specification,55968.94
R00205,O005276,P0062,2023-06-24,Size/Specification,2273.72
R00206,O005293,P0103,2025-09-24,Late Delivery,1122.49
R00207,O005306,P0042,2024-12-09,Wrong Item,14486.91
R00208,O005341,P0127,2023-09-07,Quality Issue,1072.18
R00209,O005375,P0125,2025-09-23,Wrong Item,27056.93
R00210,O005380,P0014,2023-08-06,Quality Issue,35512.54
R00211,O005417,P0002,2025-10-18,Quality Issue,35213.99
R00212,O005433,P0034,2025-04-05,Damaged,9737.4
R00213,O005448,P0007,2025-06-14,Size/Specification,52233.74
R00214,O005460,P0027,2024-05-30,Size/Specification,1039.0
R00215,O005539,P0026,2025-05-30,Wrong Item,410.31
R00216,O005566,P0039,2023-12-20,Quality Issue,585.96
R00217,O005570,P0007,2024-03-06,Customer Changed Mind,14042.33
R00218,O005630,P0102,2024-02-23,Damaged,5499.45
R00219,O005639,P0007,2023-04-20,Damaged,11174.89
R00220,O005659,P0009,2023-03-22,Customer Changed Mind,26714.27
R00221,O005661,P0128,2024-05-20,Wrong Item,216.38
R00222,O005663,P0083,2025-03-17,Damaged,10273.04
R00223,O005665,P0030,2025-06-26,Damaged,10847.0
R00224,O005699,P0077,2025-12-31,Wrong Item,4181.06
R00225,O005714,P0007,2023-01-27,Size/Specification,11597.64
R00226,O005719,P0048,2024-12-23,Customer Changed Mind,4518.23
R00227,O005732,P0041,2024-07-10,Customer Changed Mind,14989.41
R00228,O005749,P0059,2023-08-05,Late Delivery,720.67
R00229,O005765,P0019,2025-01-28,Late Delivery,379.22
R00230,O005794,P0010,2023-12-23,Damaged,4881.23
R00231,O005798,P0003,2023-09-03,Wrong Item,177.46
R00232,O005820,P0016,2024-04-01,Quality Issue,51152.65
R00233,O005857,P0016,2024-10-09,Damaged,31973.17
R00234,O005861,P0027,2023-04-16,Customer Changed Mind,316.62
R00235,O005886,P0112,2023-08-30,Size/Specification,5511.67
R00236,O005907,P0117,2024-08-14,Damaged,4212.72
R00237,O005918,P0110,2025-09-09,Damaged,3502.07
R00238,O005920,P0011,2025-08-16,Quality Issue,16765.26
R00239,O005925,P0016,2024-04-20,Size/Specification,49654.01
R00240,O005934,P0123,2023-09-22,Quality Issue,10094.93
R00241,O005950,P0057,2024-02-28,Late Delivery,700.22
R00242,O005976,P0064,2024-02-10,Wrong Item,581.24
R00243,O005982,P0103,2023-02-14,Wrong Item,791.94
R00244,O005995,P0113,2025-07-25,Damaged,29118.6
R00245,O006003,P0089,2023-12-10,Quality Issue,2648.24
R00246,O006021,P0007,2025-09-21,Size/Specification,25653.51
R00247,O006024,P0067,2025-01-23,Size/Specification,300.65
R00248,O006091,P0088,2025-03-30,Damaged,10743.44
R00249,O006154,P0131,2023-09-09,Wrong Item,4648.16
R00250,O006172,P0004,2024-08-07,Size/Specification,2546.66
R00251,O006173,P0071,2023-05-09,Wrong Item,651.45
R00252,O006176,P0016,2024-10-10,Wrong Item,12796.46
R00253,O006181,P0054,2025-10-30,Wrong Item,24707.16
R00254,O006281,P0047,2024-09-01,Late Delivery,3427.55
R00255,O006283,P0018,2025-02-10,Wrong Item,318.6
R00256,O006314,P0040,2024-01-07,Late Delivery,3103.15
R00257,O006342,P0099,2025-06-02,Quality Issue,877.95
R00258,O006375,P0028,2025-11-21,Damaged,19812.43
R00259,O006450,P0079,2023-11-03,Late Delivery,17246.33
R00260,O006460,P0046,2024-11-30,Damaged,27733.31
R00261,O006476,P0083,2025-04-13,Damaged,9664.36
R00262,O006513,P0010,2024-10-13,Size/Specification,21208.84
R00263,O006551,P0007,2024-05-23,Wrong Item,13897.91
R00264,O006554,P0133,2025-01-21,Late Delivery,559.64
R00265,O006569,P0065,2024-02-14,Late Delivery,480.98
R00266,O006597,P0005,2025-11-12,Customer Changed Mind,1442.6
R00267,O006618,P0110,2023-09-02,Damaged,14841.41
R00268,O006659,P0086,2025-08-31,Size/Specification,5886.17
R00269,O006660,P0082,2025-08-05,Late Delivery,2961.38
R00270,O006661,P0113,2023-06-28,Wrong Item,26363.22
R00271,O006683,P0070,2026-01-18,Size/Specification,366.26
R00272,O006687,P0006,2023-05-22,Late Delivery,7559.41
R00273,O006712,P0011,2025-07-23,Customer Changed Mind,15650.91
R00274,O006722,P0025,2023-12-16,Quality Issue,20488.19
R00275,O006733,P0021,2024-03-19,Size/Specification,5408.66
R00276,O006748,P0039,2024-07-03,Late Delivery,298.29
R00277,O006757,P0087,2025-10-25,Wrong Item,1677.79
R00278,O006776,P0121,2024-09-04,Size/Specification,11885.0
R00279,O006782,P0004,2023-12-28,Damaged,2507.15
R00280,O006799,P0125,2024-01-26,Late Delivery,6856.55
R00281,O006800,P0135,2024-12-05,Quality Issue,211.09
R00282,O006801,P0119,2023-07-25,Wrong Item,3780.37
R00283,O006809,P0016,2023-06-18,Damaged,10244.35
R00284,O006836,P0001,2024-08-29,Customer Changed Mind,20228.83
R00285,O006855,P0091,2025-05-15,Quality Issue,7910.13
R00286,O006860,P0038,2023-06-07,Late Delivery,212.96
R00287,O006867,P0002,2024-05-02,Quality Issue,30717.73
R00288,O006881,P0013,2023-10-04,Late Delivery,7748.95
R00289,O006916,P0120,2024-01-18,Size/Specification,335.35
R00290,O006977,P0050,2025-05-31,Quality Issue,6239.3
R00291,O006980,P0063,2024-06-17,Quality Issue,5200.51
R00292,O006995,P0090,2023-10-31,Quality Issue,11614.24
R00293,O006998,P0026,2023-08-01,Wrong Item,394.1
R00294,O007019,P0089,2025-03-13,Quality Issue,2864.35
R00295,O007023,P0029,2023-09-15,Damaged,14918.01
R00296,O007052,P0062,2025-05-17,Wrong Item,539.31
R00297,O007073,P0034,2024-06-09,Size/Specification,8472.14
R00298,O007100,P0032,2024-06-26,Customer Changed Mind,896.68
R00299,O007144,P0132,2024-01-17,Wrong Item,495.48
R00300,O007153,P0013,2025-09-10,Damaged,11660.21
R00301,O007220,P0026,2023-02-15,Size/Specification,439.85
R00302,O007223,P0005,2024-06-08,Wrong Item,398.56
R00303,O007224,P0091,2025-09-06,Wrong Item,25243.16
R00304,O007272,P0045,2023-11-19,Size/Specification,3343.4
R00305,O007327,P0065,2025-04-18,Wrong Item,1004.85
R00306,O007330,P0004,2025-08-19,Quality Issue,8917.99
R00307,O007334,P0129,2024-10-30,Customer Changed Mind,5478.44
R00308,O007342,P0047,2024-11-10,Damaged,11251.93
R00309,O007345,P0139,2023-06-08,Wrong Item,240.83
R00310,O007354,P0057,2024-03-18,Late Delivery,603.33
R00311,O007363,P0040,2025-08-03,Customer Changed Mind,2859.91
R00312,O007385,P0119,2024-05-22,Late Delivery,3416.94
R00313,O007394,P0077,2023-07-10,Customer Changed Mind,3192.37
R00314,O007427,P0079,2025-03-18,Customer Changed Mind,5649.11
R00315,O007430,P0017,2025-12-11,Wrong Item,22055.21
R00316,O007441,P0084,2023-10-22,Damaged,6475.94
R00317,O007502,P0098,2024-12-13,Wrong Item,5924.97
R00318,O007517,P0016,2023-07-21,Quality Issue,48747.09
R00319,O007524,P0089,2024-03-30,Customer Changed Mind,3021.43
R00320,O007541,P0112,2024-01-01,Quality Issue,5604.66
R00321,O007546,P0044,2025-06-11,Customer Changed Mind,21403.32
R00322,O007566,P0076,2024-06-26,Quality Issue,1198.18
R00323,O007588,P0100,2024-10-15,Late Delivery,452.67
R00324,O007617,P0005,2025-08-30,Quality Issue,385.58
R00325,O007651,P0075,2025-05-31,Late Delivery,1044.31
R00326,O007672,P0032,2024-10-05,Size/Specification,1694.91
R00327,O007770,P0012,2024-04-16,Size/Specification,1108.8
R00328,O007798,P0001,2024-08-10,Size/Specification,9204.59
R00329,O007802,P0006,2025-03-31,Size/Specification,4292.63
R00330,O007804,P0108,2025-05-22,Size/Specification,34880.53
R00331,O007810,P0082,2025-09-29,Quality Issue,12557.98
R00332,O007835,P0051,2024-05-06,Customer Changed Mind,31066.77
R00333,O007838,P0004,2023-06-08,Damaged,2975.15
R00334,O007845,P0116,2024-07-14,Quality Issue,4576.08
R00335,O007875,P0013,2025-11-27,Damaged,7524.33
R00336,O007893,P0024,2025-02-26,Late Delivery,1943.84
R00337,O007896,P0018,2024-03-13,Size/Specification,651.67
R00338,O007913,P0106,2023-01-26,Wrong Item,1151.28
R00339,O007932,P0090,2025-10-10,Damaged,4640.91
R00340,O007951,P0127,2024-04-25,Quality Issue,226.37
R00341,O007956,P0013,2025-02-13,Customer Changed Mind,4126.56
R00342,O007963,P0013,2023-06-24,Wrong Item,11945.65
R00343,O007996,P0068,2025-01-16,Customer Changed Mind,17175.25
R00344,O008003,P0042,2023-08-17,Damaged,5990.23
R00345,O008021,P0050,2023-10-23,Damaged,5469.98
R00346,O008027,P0107,2025-12-15,Quality Issue,10900.1
R00347,O008062,P0004,2024-09-02,Damaged,2406.01
R00348,O008072,P0002,2024-01-01,Damaged,58478.53
R00349,O008080,P0138,2023-12-28,Size/Specification,18631.04
R00350,O008183,P0058,2023-12-28,Size/Specification,14222.41
R00351,O008199,P0010,2023-06-11,Late Delivery,4871.59
R00352,O008204,P0071,2025-04-25,Wrong Item,834.53
R00353,O008208,P0111,2023-03-26,Quality Issue,3354.23
R00354,O008224,P0004,2024-12-09,Wrong Item,5311.15
R00355,O008278,P0013,2023-01-29,Wrong Item,3862.21
R00356,O008373,P0098,2024-04-01,Damaged,8263.45
R00357,O008428,P0114,2024-07-31,Late Delivery,5016.28
R00358,O008442,P0014,2025-03-01,Damaged,18842.19
R00359,O008490,P0109,2024-11-19,Damaged,13835.79
R00360,O008519,P0077,2025-05-27,Size/Specification,7339.63
R00361,O008522,P0123,2025-11-01,Size/Specification,22793.57
R00362,O008528,P0013,2025-12-26,Late Delivery,3914.2
R00363,O008615,P0013,2024-09-10,Wrong Item,8999.57
R00364,O008617,P0092,2025-10-11,Quality Issue,444.65
R00365,O008627,P0004,2025-01-29,Damaged,5818.37
R00366,O008678,P0120,2023-12-19,Customer Changed Mind,128.16
R00367,O008683,P0080,2025-09-20,Quality Issue,3498.11
R00368,O008699,P0012,2023-10-14,Quality Issue,2110.25
R00369,O008706,P0037,2024-02-08,Quality Issue,6322.9
R00370,O008731,P0122,2024-03-22,Damaged,23366.16
R00371,O008738,P0050,2023-06-17,Size/Specification,24891.99
R00372,O008786,P0104,2024-09-25,Late Delivery,515.47
R00373,O008815,P0057,2023-07-17,Damaged,1978.82
R00374,O008842,P0016,2025-01-02,Damaged,44865.02
R00375,O008845,P0128,2023-09-07,Size/Specification,250.17
R00376,O008885,P0025,2023-03-14,Quality Issue,9614.0
R00377,O008952,P0006,2024-07-12,Damaged,2239.18
R00378,O009022,P0027,2025-02-06,Size/Specification,497.64
R00379,O009033,P0070,2024-01-27,Wrong Item,374.84
R00380,O009041,P0003,2025-06-05,Wrong Item,192.16
R00381,O009045,P0033,2024-05-29,Quality Issue,2233.21
R00382,O009047,P0088,2024-08-16,Late Delivery,34836.36
R00383,O009096,P0002,2025-10-04,Late Delivery,55351.99
R00384,O009114,P0109,2024-01-30,Late Delivery,2519.42
R00385,O009120,P0089,2025-02-26,Damaged,7970.97
R00386,O009126,P0085,2023-12-09,Late Delivery,3575.74
R00387,O009133,P0059,2023-09-02,Size/Specification,1945.84
R00388,O009134,P0078,2024-06-05,Size/Specification,6268.95
R00389,O009145,P0046,2023-05-14,Damaged,5444.81
R00390,O009188,P0088,2023-12-04,Late Delivery,11360.69
R00391,O009248,P0120,2023-02-27,Customer Changed Mind,153.54
R00392,O009249,P0014,2024-11-23,Wrong Item,34882.51
R00393,O009250,P0084,2025-03-15,Customer Changed Mind,4268.14
R00394,O009300,P0019,2023-06-02,Quality Issue,326.04
R00395,O009302,P0002,2025-05-21,Wrong Item,36260.05
R00396,O009304,P0109,2024-08-21,Size/Specification,8216.56
R00397,O009305,P0004,2026-01-14,Late Delivery,5879.98
R00398,O009316,P0114,2024-11-28,Quality Issue,11018.29
R00399,O009323,P0018,2024-04-30,Customer Changed Mind,317.13
R00400,O009336,P0095,2023-09-18,Damaged,5712.16
R00401,O009381,P0019,2023-04-04,Quality Issue,541.77
R00402,O009385,P0117,2024-11-17,Damaged,7241.07
R00403,O009389,P0088,2025-01-06,Damaged,28139.67
R00404,O009423,P0041,2025-05-07,Late Delivery,9526.35
R00405,O009430,P0067,2025-09-28,Customer Changed Mind,472.37
R00406,O009450,P0073,2025-05-21,Late Delivery,21266.82
R00407,O009451,P0096,2025-07-25,Damaged,633.23
R00408,O009465,P0065,2023-03-17,Quality Issue,1555.84
R00409,O009478,P0012,2024-01-23,Late Delivery,2216.09
R00410,O009507,P0008,2025-10-14,Quality Issue,10415.15
R00411,O009629,P0074,2024-04-21,Late Delivery,330.6
R00412,O009633,P0112,2024-03-25,Wrong Item,4657.95
R00413,O009636,P0113,2024-04-08,Size/Specification,64312.65
R00414,O009658,P0057,2024-05-05,Size/Specification,1195.51
R00415,O009684,P0004,2024-10-05,Quality Issue,2569.69
R00416,O009700,P0037,2023-03-06,Quality Issue,14805.52
R00417,O009704,P0011,2025-03-30,Quality Issue,9228.9
R00418,O009733,P0031,2023-07-30,Wrong Item,661.0
R00419,O009782,P0087,2025-09-10,Wrong Item,5686.3
R00420,O009797,P0066,2024-06-26,Damaged,411.63
R00421,O009828,P0005,2025-04-29,Wrong Item,806.0
R00422,O009908,P0021,2024-12-21,Customer Changed Mind,3916.84
R00423,O009909,P0055,2024-04-30,Damaged,10263.82
R00424,O009911,P0103,2024-10-24,Damaged,1231.4
R00425,O009919,P0012,2025-06-18,Quality Issue,3207.13
R00426,O009948,P0002,2024-07-17,Wrong Item,9929.83
R00427,O009973,P0130,2023-09-03,Wrong Item,413.18
R00428,O009996,P0044,2024-07-30,Late Delivery,36145.98
R00429,O010004,P0062,2025-08-08,Quality Issue,416.43
R00430,O010025,P0016,2023-01-30,Size/Specification,26405.83
R00431,O010045,P0005,2025-11-22,Customer Changed Mind,1366.86
R00432,O010055,P0099,2025-07-15,Size/Specification,260.4
R00433,O010101,P0002,2024-06-18,Customer Changed Mind,21327.77
R00434,O010116,P0078,2025-10-29,Wrong Item,30415.49
R00435,O010119,P0091,2025-01-19,Late Delivery,17446.01
R00436,O010122,P0009,2023-03-27,Late Delivery,10829.76
R00437,O010127,P0007,2025-11-01,Damaged,22819.16
R00438,O010135,P0117,2025-08-13,Damaged,3459.3
R00439,O010146,P0008,2024-05-14,Size/Specification,16419.68
R00440,O010237,P0012,2024-10-05,Quality Issue,2080.65
R00441,O010261,P0102,2024-02-16,Size/Specification,11140.0
R00442,O010301,P0073,2024-06-21,Quality Issue,19479.25
R00443,O010318,P0117,2025-01-02,Damaged,3381.93
R00444,O010344,P0008,2025-04-27,Wrong Item,21814.91
R00445,O010347,P0023,2024-05-20,Wrong Item,1109.14
R00446,O010350,P0093,2024-11-04,Size/Specification,343.62
R00447,O010371,P0002,2024-05-17,Size/Specification,46596.39
R00448,O010394,P0129,2025-06-29,Wrong Item,11315.17
R00449,O010402,P0116,2025-11-11,Damaged,4276.72
R00450,O010431,P0008,2023-07-25,Wrong Item,22029.38
R00451,O010438,P0078,2024-03-30,Damaged,13068.65
