product_id,product_name,category,subcategory,unit_price,unit_cost,supplier_lead_days
P0053,Laptops 053,Electronics,Laptops,4435.94,2608.6,10
P0054,Tables 054,Furniture,Tables,13330.72,9514.58,9
P0055,Kitchen 055,Appliances,Kitchen,3314.76,2642.51,3
P0056,Cooling 056,Appliances,Cooling,3435.37,2058.15,17
P0057,Printing 057,Office Supplies,Printing,715.02,471.12,18
P0058,Desks 058,Furniture,Desks,4996.63,3811.71,4
P0059,Bags 059,Accessories,Bags,838.87,541.51,4
P0060,Cameras 060,Electronics,Cameras,5164.73,3663.13,8
P0061,Laptops 061,Electronics,Laptops,4727.51,2924.68,5
P0062,Bags 062,Accessories,Bags,583.23,387.52,10
P0063,Kitchen 063,Appliances,Kitchen,5367.44,3194.62,10
P0064,Bags 064,Accessories,Bags,611.19,414.97,16
P0065,Keyboards 065,Accessories,Keyboards,345.88,206.48,9
P0066,Writing 066,Office Supplies,Writing,461.93,356.12,7
P0067,Printing 067,Office Supplies,Printing,311.59,236.12,5
P0068,Cameras 068,Electronics,Cameras,7364.4,4996.74,6
P0069,Monitors 069,Electronics,Monitors,4748.37,3364.08,7
P0070,Paper 070,Office Supplies,Paper,137.81,84.26,14
P0071,Writing 071,Office Supplies,Writing,479.01,347.8,12
P0072,Bags 072,Accessories,Bags,388.5,258.88,12
P0073,Monitors 073,Electronics,Monitors,11356.84,8758.84,6
P0074,Cables 074,Accessories,Cables,402.44,309.55,9
P0075,Writing 075,Office Supplies,Writing,663.9,439.0,11
P0076,Mice 076,Accessories,Mice,393.31,304.7,4
P0077,Cameras 077,Electronics,Cameras,4694.66,2931.2,4
P0078,Audio 078,Electronics,Audio,8935.22,5714.15,11
P0079,Tables 079,Furniture,Tables,7119.23,4958.99,16
P0080,Bags 080,Accessories,Bags,1487.1,1205.91,7
P0081,Bags 081,Accessories,Bags,496.44,309.28,7
P0082,Cleaning 082,Appliances,Cleaning,3541.05,2935.97,14
P0083,Audio 083,Electronics,Audio,12868.65,10106.78,10
P0084,Audio 084,Electronics,Audio,4981.49,3174.05,16
P0085,Cables 085,Accessories,Cables,1011.81,606.38,10
P0086,Desks 086,Furniture,Desks,3194.84,1951.51,3
P0087,Storage 087,Furniture,Storage,1769.45,1126.4,16
P0088,Storage 088,Furniture,Storage,13302.92,10623.83,6
P0089,Kitchen 089,Appliances,Kitchen,3122.93,1926.12,10
P0090,Tables 090,Furniture,Tables,6645.06,4977.74,10
P0091,Chairs 091,Furniture,Chairs,9185.01,6139.18,15
P0092,Binders 092,Office Supplies,Binders,169.12,104.05,11
P0093,Printing 093,Office Supplies,Printing,203.4,134.92,13
P0094,Laptops 094,Electronics,Laptops,7018.96,4295.39,11
P0095,Storage 095,Furniture,Storage,1531.41,1271.15,16
P0096,Binders 096,Office Supplies,Binders,354.67,257.68,6
P0097,Cleaning 097,Appliances,Cleaning,3722.23,2880.16,16
P0098,Monitors 098,Electronics,Monitors,3214.85,2396.04,5
P0099,Binders 099,Office Supplies,Binders,311.86,208.17,6
P0100,Binders 100,Office Supplies,Binders,269.16,179.42,13
P0101,Cooling 101,Appliances,Cooling,4618.3,3213.66,9
P0102,Small Appliances 102,Appliances,Small Appliances,3391.79,2251.8,8
P0103,Keyboards 103,Accessories,Keyboards,457.19,335.77,3
P0104,Binders 104,Office Supplies,Binders,174.57,137.1,13
P0105,Small Appliances 105,Appliances,Small Appliances,4639.49,3363.81,9
P0106,Mice 106,Accessories,Mice,369.52,234.14,8
P0107,Audio 107,Electronics,Audio,12272.12,8663.9,13
P0108,Monitors 108,Electronics,Monitors,8356.62,5557.76,10
P0109,Desks 109,Furniture,Desks,2918.02,2432.61,10
P0110,Kitchen 110,Appliances,Kitchen,4116.21,2970.22,9
P0111,Small Appliances 111,Appliances,Small Appliances,3837.79,2824.96,7
P0112,Laptops 112,Electronics,Laptops,6199.85,3953.09,10
P0113,Tables 113,Furniture,Tables,17008.53,14065.09,10
P0114,Cameras 114,Electronics,Cameras,6215.19,5005.29,17
P0115,Keyboards 115,Accessories,Keyboards,1140.38,676.23,17
P0116,Mice 116,Accessories,Mice,1398.9,872.99,17
P0117,Tables 117,Furniture,Tables,4322.51,3125.1,10
P0118,Printing 118,Office Supplies,Printing,187.28,126.8,11
P0119,Kitchen 119,Appliances,Kitchen,4024.67,2634.06,10
P0120,Binders 120,Office Supplies,Binders,174.46,132.04,5
P0121,Desks 121,Furniture,Desks,3270.86,2948.43,9
P0122,Cameras 122,Electronics,Cameras,27444.4,25029.77,16
P0123,Monitors 123,Electronics,Monitors,12398.59,11440.63,3
P0124,Mice 124,Accessories,Mice,769.33,680.09,12
P0125,Small Appliances 125,Appliances,Small Appliances,7385.34,6636.29,10
P0126,Cleaning 126,Appliances,Cleaning,3406.48,3120.35,15
P0127,Printing 127,Office Supplies,Printing,273.99,244.17,7
P0128,Bags 128,Accessories,Bags,286.63,260.42,3
P0129,Cameras 129,Electronics,Cameras,6514.2,5977.96,4
P0130,Printing 130,Office Supplies,Printing,290.07,266.33,13
P0131,Cooling 131,Appliances,Cooling,1696.1,1093.1,16
P0132,Paper 132,Office Supplies,Paper,294.93,211.68,4
P0133,Writing 133,Office Supplies,Writing,293.53,196.95,4
P0134,Monitors 134,Electronics,Monitors,8683.5,6844.04,3
P0135,Cables 135,Accessories,Cables,266.43,207.28,18
P0136,Monitors 136,Electronics,Monitors,4887.42,3514.5,11
P0137,Writing 137,Office Supplies,Writing,223.97,152.85,6
P0138,Storage 138,Furniture,Storage,4759.13,3863.91,3
P0139,Printing 139,Office Supplies,Printing,164.91,121.52,9
P0140,Monitors 140,Electronics,Monitors,6626.25,5390.49,12
