order_id,product_id,quantity,unit_price,discount_pct,gross_sales,discount_amount,net_sales,product_cost,shipping_cost,fulfillment_cost,gross_profit_before_marketing,profit,profit_margin_pct
O000010,P0049,6,4840.93,18.76,29045.58,5448.95,23596.63,21357.78,418.55,373.45,1820.3000000000022,1446.85,6.13
O000010,P0130,1,290.07,19.98,290.07,57.96,232.11,266.33,138.27,115.72,-172.48999999999998,-288.21,-124.17
O000010,P0013,2,4904.4,14.64,9808.8,1436.01,8372.79,5726.8,38.5,29.69,2607.4900000000007,2577.8,30.79
O000011,P0094,4,7018.96,18.42,28075.84,5171.57,22904.27,17181.56,174.43,114.47,5548.279999999999,5433.81,23.72
O000012,P0026,1,479.5,6.94,479.5,33.28,446.22,354.81,205.72,132.32,-114.30999999999997,-246.63,-55.27
O000012,P0059,2,838.87,19.1,1677.74,320.45,1357.29,1083.02,788.12,526.78,-513.85,-1040.63,-76.67
O000012,P0006,4,2884.06,12.0,11536.24,1384.35,10151.89,7923.0,296.17,192.47,1932.7199999999993,1740.25,17.14
O000012,P0030,2,13469.52,6.74,26939.04,1815.69,25123.35,15821.54,1357.84,866.98,7943.9699999999975,7076.99,28.17
O000013,P0027,2,365.91,13.73,731.82,100.48,631.34,429.96,69.03,58.11,132.35000000000005,74.24,11.76
O000014,P0090,2,6645.06,1.96,13290.12,260.49,13029.63,9955.48,59.07,47.84,3015.0799999999995,2967.24,22.77
O000015,P0031,3,804.72,5.72,2414.16,138.09,2276.07,1481.49,66.31,49.63,728.2700000000002,678.64,29.82
O000016,P0012,1,1254.01,9.08,1254.01,113.86,1140.15,823.65,102.77,64.77,213.73000000000013,148.96,13.06
O000016,P0108,3,8356.62,23.82,25069.86,5971.64,19098.22,16673.28,232.03,167.87,2192.910000000002,2025.04,10.6
O000017,P0028,1,22191.34,23.71,22191.34,5261.57,16929.77,14206.1,222.93,198.65,2500.7400000000002,2302.09,13.6
O000017,P0105,3,4639.49,32.0,13918.47,4453.91,9464.56,10091.43,278.95,217.32,-905.8200000000008,-1123.14,-11.87
O000018,P0009,3,13095.23,12.85,39285.69,5048.21,34237.48,24343.44,43.12,37.7,9850.920000000004,9813.22,28.66
O000018,P0045,1,1944.97,32.0,1944.97,622.39,1322.58,1267.98,449.66,362.22,-395.0600000000001,-757.28,-57.26
O000019,P0090,4,6645.06,14.17,26580.24,3766.42,22813.82,19910.96,442.06,303.19,2460.8000000000006,2157.61,9.46
O000019,P0011,2,10003.14,21.94,20006.28,4389.38,15616.9,12491.02,538.44,347.82,2587.439999999999,2239.62,14.34
O000019,P0016,1,13825.04,9.25,13825.04,1278.82,12546.22,9693.06,263.5,186.9,2589.66,2402.76,19.15
O000020,P0100,2,269.16,27.69,538.32,149.06,389.26,358.84,52.02,40.15,-21.599999999999987,-61.75,-15.86
O000021,P0071,2,479.01,4.57,958.02,43.78,914.24,695.6,294.09,224.29,-75.44999999999999,-299.74,-32.79
O000022,P0102,1,3391.79,18.95,3391.79,642.74,2749.05,2251.8,569.03,401.14,-71.77999999999997,-472.92,-17.2
O000023,P0126,1,3406.48,1.48,3406.48,50.42,3356.06,3120.35,339.41,297.26,-103.69999999999999,-400.96,-11.95
O000023,P0002,2,12946.32,2.88,25892.64,745.71,25146.93,16791.82,292.43,218.38,8062.68,7844.3,31.19
O000024,P0088,3,13302.92,30.43,39908.76,12144.24,27764.52,31871.49,368.43,252.0,-4475.4000000000015,-4727.4,-17.03
O000024,P0037,2,3389.93,35.0,6779.86,2372.95,4406.91,4026.02,306.89,236.25,73.99999999999989,-162.25,-3.68
O000025,P0015,4,12656.42,32.0,50625.68,16200.22,34425.46,37849.24,526.68,450.08,-3950.4599999999987,-4400.54,-12.78
O000026,P0102,1,3391.79,19.4,3391.79,658.01,2733.78,2251.8,184.21,129.68,297.77,168.09,6.15
O000026,P0096,1,354.67,7.4,354.67,26.25,328.42,257.68,323.68,260.46,-252.94,-513.4,-156.32
O000026,P0010,3,5075.1,26.22,15225.3,3992.07,11233.23,10666.56,324.98,259.71,241.69000000000005,-18.02,-0.16
O000027,P0114,1,6215.19,25.65,6215.19,1594.2,4620.99,5005.29,246.34,166.01,-630.6400000000002,-796.65,-17.24
O000028,P0005,2,466.92,4.49,933.84,41.93,891.91,610.58,257.03,213.56,24.299999999999955,-189.26,-21.22
O000029,P0044,2,13270.91,6.44,26541.82,1709.29,24832.53,20373.4,464.42,333.99,3994.7099999999973,3660.72,14.74
O000030,P0044,2,13270.91,11.37,26541.82,3017.8,23524.02,20373.4,153.67,109.99,2996.949999999999,2886.96,12.27
O000030,P0094,2,7018.96,18.49,14037.92,2595.61,11442.31,8590.78,84.81,75.99,2766.719999999999,2690.73,23.52
O000030,P0029,2,9394.21,35.0,18788.42,6575.95,12212.47,13658.44,344.64,220.81,-1790.610000000001,-2011.42,-16.47
O000030,P0081,2,496.44,10.47,992.88,103.95,888.93,618.56,228.7,154.54,41.670000000000016,-112.87,-12.7
O000030,P0100,2,269.16,5.5,538.32,29.61,508.71,358.84,297.95,255.34,-148.07999999999998,-403.42,-79.3
O000031,P0109,1,2918.02,19.27,2918.02,562.3,2355.72,2432.61,201.73,147.58,-278.62000000000035,-426.2,-18.09
O000031,P0118,1,187.28,17.6,187.28,32.96,154.32,126.8,38.5,34.76,-10.980000000000004,-45.74,-29.64
O000031,P0052,2,10903.09,16.64,21806.18,3628.55,18177.63,15804.82,285.9,197.75,2086.910000000001,1889.16,10.39
O000031,P0072,1,388.5,12.27,388.5,47.67,340.83,258.88,202.18,183.66,-120.23000000000002,-303.89,-89.16
O000032,P0076,1,393.31,22.75,393.31,89.48,303.83,304.7,203.3,165.31,-204.17000000000002,-369.48,-121.61
O000032,P0016,2,13825.04,24.13,27650.08,6671.96,20978.12,19386.12,265.49,180.65,1326.51,1145.86,5.46
O000033,P0002,2,12946.32,6.07,25892.64,1571.68,24320.96,16791.82,88.17,73.71,7440.969999999999,7367.26,30.29
O000033,P0018,3,358.1,11.92,1074.3,128.06,946.24,838.44,298.19,195.44,-190.39000000000004,-385.83,-40.78
O000033,P0095,3,1531.41,9.86,4594.23,452.99,4141.24,3813.45,313.25,221.36,14.539999999999964,-206.82,-4.99
O000033,P0010,1,5075.1,18.68,5075.1,948.03,4127.07,3555.52,146.49,93.04,425.0599999999997,332.02,8.04
O000034,P0006,1,2884.06,5.6,2884.06,161.51,2722.55,1980.75,102.74,64.15,639.0600000000002,574.91,21.12
O000035,P0064,1,611.19,17.98,611.19,109.89,501.3,414.97,140.03,126.16,-53.70000000000002,-179.86,-35.88
O000036,P0075,1,663.9,23.44,663.9,155.62,508.28,439.0,151.08,127.44,-81.80000000000004,-209.24,-41.17
O000036,P0034,5,10596.8,28.14,52984.0,14909.7,38074.3,31707.45,38.5,26.65,6328.350000000002,6301.7,16.55
O000037,P0119,1,4024.67,22.0,4024.67,885.43,3139.24,2634.06,93.72,84.46,411.4599999999998,327.0,10.42
O000037,P0082,2,3541.05,14.48,7082.1,1025.49,6056.61,5871.94,146.63,123.21,38.04000000000008,-85.17,-1.41
O000038,P0008,1,6092.87,11.4,6092.87,694.59,5398.28,4956.09,738.86,573.02,-296.6700000000004,-869.69,-16.11
O000039,P0022,4,15327.47,9.76,61309.88,5983.84,55326.04,39592.48,139.69,109.23,15593.869999999997,15484.64,27.99
O000039,P0066,3,461.93,28.57,1385.79,395.92,989.87,1068.36,148.64,119.94,-227.12999999999988,-347.07,-35.06
O000040,P0083,3,12868.65,14.54,38605.95,5613.31,32992.64,30320.34,394.95,288.14,2277.3499999999995,1989.21,6.03
O000040,P0094,1,7018.96,11.14,7018.96,781.91,6237.05,4295.39,261.81,217.32,1679.85,1462.53,23.45
O000041,P0068,4,7364.4,28.46,29457.6,8383.63,21073.97,19986.96,286.18,201.89,800.830000000002,598.94,2.84
O000041,P0066,4,461.93,12.34,1847.72,228.01,1619.71,1424.48,403.51,331.74,-208.27999999999997,-540.02,-33.34
O000042,P0078,2,8935.22,4.59,17870.44,820.25,17050.19,11428.3,591.93,447.4,5029.959999999999,4582.56,26.88
O000042,P0040,1,3411.56,22.88,3411.56,780.56,2631.0,2758.38,197.61,172.24,-324.9900000000001,-497.23,-18.9
O000043,P0046,4,5627.13,3.43,22508.52,772.04,21736.48,14181.52,107.81,75.08,7447.149999999999,7372.07,33.92
O000044,P0005,1,466.92,7.89,466.92,36.84,430.08,305.29,141.06,102.96,-16.27000000000004,-119.23,-27.72
O000045,P0107,1,12272.12,4.88,12272.12,598.88,11673.24,8663.9,881.83,705.34,2127.51,1422.17,12.18
O000045,P0018,1,358.1,25.46,358.1,91.17,266.93,279.48,209.52,149.39,-222.07000000000002,-371.46,-139.16
O000046,P0090,3,6645.06,19.87,19935.18,3961.12,15974.06,14933.22,279.28,235.17,761.5600000000002,526.39,3.3
O000047,P0002,2,12946.32,11.23,25892.64,2907.74,22984.9,16791.82,504.92,329.23,5688.160000000002,5358.93,23.32
O000048,P0063,1,5367.44,1.72,5367.44,92.32,5275.12,3194.62,274.57,184.46,1805.93,1621.47,30.74
O000049,P0007,3,15044.28,10.08,45132.84,4549.39,40583.45,33918.9,253.55,159.54,6410.999999999995,6251.46,15.4
O000050,P0011,2,10003.14,29.6,20006.28,5921.86,14084.42,12491.02,64.48,44.76,1528.9199999999996,1484.16,10.54
O000050,P0027,1,365.91,15.31,365.91,56.02,309.89,214.98,123.91,89.99,-29.0,-118.99,-38.4
O000051,P0037,1,3389.93,15.02,3389.93,509.17,2880.76,2013.01,189.92,153.87,677.8300000000003,523.96,18.19
O000052,P0068,3,7364.4,19.57,22093.2,4323.64,17769.56,14990.22,233.32,182.42,2546.020000000002,2363.6,13.3
O000052,P0076,1,393.31,16.38,393.31,64.42,328.89,304.7,484.49,432.21,-460.3,-892.51,-271.37
O000052,P0100,1,269.16,13.98,269.16,37.63,231.53,179.42,348.01,257.75,-295.9,-553.65,-239.13
O000053,P0026,1,479.5,14.54,479.5,69.72,409.78,354.81,379.63,239.85,-324.66,-564.51,-137.76
O000053,P0140,1,6626.25,13.09,6626.25,867.38,5758.87,5390.49,282.91,181.18,85.47000000000008,-95.71,-1.66
O000053,P0134,1,8683.5,16.47,8683.5,1430.17,7253.33,6844.04,720.46,510.18,-311.1700000000001,-821.35,-11.32
O000054,P0093,4,203.4,13.03,813.6,106.01,707.59,539.68,629.76,425.05,-461.8499999999999,-886.9,-125.34
O000055,P0109,3,2918.02,7.11,8754.06,622.41,8131.65,7297.83,164.07,128.29,669.7499999999998,541.46,6.66
O000055,P0016,6,13825.04,13.31,82950.24,11040.68,71909.56,58158.36,53.82,42.08,13697.379999999997,13655.3,18.99
O000056,P0034,1,10596.8,1.26,10596.8,133.52,10463.28,6341.49,346.33,257.62,3775.460000000001,3517.84,33.62
O000056,P0133,3,293.53,24.49,880.59,215.66,664.93,590.85,327.33,212.83,-253.25000000000006,-466.08,-70.09
O000057,P0016,2,13825.04,6.24,27650.08,1725.36,25924.72,19386.12,123.13,95.4,6415.470000000002,6320.07,24.38
O000057,P0001,4,11190.99,12.81,44763.96,5734.26,39029.7,28971.08,269.91,214.3,9788.709999999995,9574.41,24.53
O000058,P0015,2,12656.42,31.58,25312.84,7993.79,17319.05,18924.62,263.82,195.12,-1869.3899999999996,-2064.51,-11.92
O000058,P0052,2,10903.09,14.03,21806.18,3059.41,18746.77,15804.82,474.28,407.68,2467.670000000001,2059.99,10.99
O000059,P0125,3,7385.34,9.02,22156.02,1998.47,20157.55,19908.87,38.5,32.42,210.1800000000003,177.76,0.88
O000059,P0071,2,479.01,4.04,958.02,38.7,919.32,695.6,272.39,242.04,-48.66999999999996,-290.71,-31.62
O000060,P0004,2,3111.76,4.4,6223.52,273.83,5949.69,4410.04,513.45,377.47,1026.1999999999996,648.73,10.9
O000060,P0105,2,4639.49,10.43,9278.98,967.8,8311.18,6727.62,214.3,178.0,1369.2600000000004,1191.26,14.33
O000060,P0107,2,12272.12,4.02,24544.24,986.68,23557.56,17327.8,123.23,111.53,6106.5300000000025,5995.0,25.45
O000060,P0020,1,571.07,18.47,571.07,105.48,465.59,448.13,502.37,398.26,-484.91,-883.17,-189.69
O000061,P0033,1,1244.13,4.67,1244.13,58.1,1186.03,851.33,351.13,240.29,-16.430000000000064,-256.72,-21.65
O000061,P0008,1,6092.87,18.78,6092.87,1144.24,4948.63,4956.09,155.33,97.28,-162.79000000000005,-260.07,-5.26
O000061,P0040,1,3411.56,25.27,3411.56,862.1,2549.46,2758.38,150.8,123.66,-359.7200000000001,-483.38,-18.96
O000061,P0093,1,203.4,18.96,203.4,38.56,164.84,134.92,492.12,384.13,-462.2,-846.33,-513.43
O000061,P0005,2,466.92,18.19,933.84,169.87,763.97,610.58,643.64,571.89,-490.25,-1062.14,-139.03
O000062,P0068,1,7364.4,11.13,7364.4,819.66,6544.74,4996.74,91.12,60.15,1456.88,1396.73,21.34
O000063,P0114,1,6215.19,9.84,6215.19,611.57,5603.62,5005.29,705.92,456.48,-107.59000000000003,-564.07,-10.07
O000064,P0071,4,479.01,12.06,1916.04,231.07,1684.97,1391.2,49.52,42.09,244.24999999999997,202.16,12.0
O000064,P0007,1,15044.28,4.22,15044.28,634.87,14409.41,11306.3,585.7,392.5,2517.4100000000008,2124.91,14.75
O000065,P0072,3,388.5,4.56,1165.5,53.15,1112.35,776.64,846.9,704.56,-511.19000000000005,-1215.75,-109.3
O000065,P0104,2,174.57,32.0,349.14,111.72,237.42,274.2,137.76,108.43,-174.54,-282.97,-119.19
O000066,P0011,2,10003.14,4.96,20006.28,992.31,19013.97,12491.02,840.84,735.85,5682.110000000001,4946.26,26.01
O000066,P0069,3,4748.37,17.2,14245.11,2450.16,11794.95,10092.24,610.81,455.63,1091.900000000001,636.27,5.39
O000066,P0140,2,6626.25,6.3,13252.5,834.91,12417.59,10780.98,290.98,258.91,1345.6300000000006,1086.72,8.75
O000066,P0010,2,5075.1,10.64,10150.2,1079.98,9070.22,7111.04,546.97,358.24,1412.2099999999994,1053.97,11.62
O000067,P0053,5,4435.94,25.77,22179.7,5715.71,16463.99,13043.0,258.69,164.45,3162.3000000000015,2997.85,18.21
O000067,P0068,2,7364.4,17.85,14728.8,2629.09,12099.71,9993.48,543.89,419.92,1562.3399999999997,1142.42,9.44
O000068,P0078,4,8935.22,35.0,35740.88,12509.31,23231.57,22856.6,327.68,297.94,47.29000000000116,-250.65,-1.08
O000069,P0006,1,2884.06,17.14,2884.06,494.33,2389.73,1980.75,229.31,152.02,179.67000000000002,27.65,1.16
O000070,P0068,1,7364.4,7.06,7364.4,519.93,6844.47,4996.74,90.75,70.69,1756.9800000000005,1686.29,24.64
O000070,P0086,2,3194.84,15.43,6389.68,985.93,5403.75,3903.02,175.72,122.33,1325.01,1202.68,22.26
O000071,P0050,3,6519.64,32.0,19558.92,6258.85,13300.07,15455.19,293.26,222.72,-2448.380000000001,-2671.1,-20.08
O000072,P0077,2,4694.66,7.4,9389.32,694.81,8694.51,5862.4,338.58,265.02,2493.5300000000007,2228.51,25.63
O000073,P0009,1,13095.23,19.89,13095.23,2604.64,10490.59,8114.48,259.14,192.99,2116.9700000000007,1923.98,18.34
O000074,P0069,3,4748.37,19.37,14245.11,2759.28,11485.83,10092.24,99.17,71.99,1294.42,1222.43,10.64
O000075,P0084,3,4981.49,17.1,14944.47,2555.5,12388.97,9522.15,273.64,183.09,2593.18,2410.09,19.45
O000076,P0049,1,4840.93,11.74,4840.93,568.33,4272.6,3559.63,225.29,200.06,487.6800000000003,287.62,6.73
O000076,P0076,2,393.31,9.92,786.62,78.03,708.59,609.4,142.29,97.85,-43.09999999999994,-140.95,-19.89
O000077,P0083,1,12868.65,25.33,12868.65,3259.63,9609.02,10106.78,81.27,72.75,-579.0300000000002,-651.78,-6.78
O000077,P0072,2,388.5,9.28,777.0,72.11,704.89,517.76,478.37,417.11,-291.24,-708.35,-100.49
O000077,P0022,2,15327.47,9.65,30654.94,2958.2,27696.74,19796.24,43.12,26.91,7857.38,7830.47,28.27
O000078,P0018,1,358.1,30.74,358.1,110.08,248.02,279.48,180.08,122.56,-211.54000000000002,-334.1,-134.71
O000078,P0090,1,6645.06,14.16,6645.06,940.94,5704.12,4977.74,176.11,136.67,550.2700000000001,413.6,7.25
O000079,P0097,1,3722.23,31.03,3722.23,1155.01,2567.22,2880.16,408.26,370.61,-721.2,-1091.81,-42.53
O000079,P0059,2,838.87,19.99,1677.74,335.38,1342.36,1083.02,52.05,42.36,207.2899999999999,164.93,12.29
O000079,P0029,1,9394.21,17.89,9394.21,1680.62,7713.59,6829.22,148.57,131.15,735.8,604.65,7.84
O000080,P0107,1,12272.12,6.73,12272.12,825.91,11446.21,8663.9,300.19,203.59,2482.1199999999994,2278.53,19.91
O000081,P0124,2,769.33,16.09,1538.66,247.57,1291.09,1360.18,63.86,39.75,-132.95000000000016,-172.7,-13.38
O000082,P0127,1,273.99,13.67,273.99,37.45,236.54,244.17,216.46,156.82,-224.09,-380.91,-161.03
O000082,P0061,2,4727.51,16.0,9455.02,1512.8,7942.22,5849.36,394.84,257.15,1698.0200000000007,1440.87,18.14
O000083,P0008,2,6092.87,24.19,12185.74,2947.73,9238.01,9912.18,280.23,253.11,-954.4000000000001,-1207.51,-13.07
O000084,P0015,1,12656.42,19.92,12656.42,2521.16,10135.26,9462.31,416.08,374.63,256.87000000000074,-117.76,-1.16
O000084,P0001,3,11190.99,8.42,33572.97,2826.84,30746.13,21728.31,241.88,199.94,8775.94,8576.0,27.89
O000085,P0055,2,3314.76,24.0,6629.52,1591.08,5038.44,5285.02,202.59,154.39,-449.17000000000087,-603.56,-11.98
O000085,P0001,1,11190.99,10.45,11190.99,1169.46,10021.53,7242.77,249.54,208.58,2529.2200000000003,2320.64,23.16
O000085,P0031,2,804.72,14.8,1609.44,238.2,1371.24,987.66,628.77,393.19,-245.18999999999994,-638.38,-46.55
O000085,P0119,2,4024.67,8.52,8049.34,685.8,7363.54,5268.12,126.33,103.39,1969.0900000000001,1865.7,25.34
O000086,P0012,4,1254.01,10.09,5016.04,506.12,4509.92,3294.6,490.13,375.13,725.1900000000002,350.06,7.76
O000087,P0037,2,3389.93,8.9,6779.86,603.41,6176.45,4026.02,59.67,51.1,2090.7599999999998,2039.66,33.02
O000087,P0095,1,1531.41,9.46,1531.41,144.87,1386.54,1271.15,167.78,105.46,-52.39000000000013,-157.85,-11.38
O000087,P0104,2,174.57,26.09,349.14,91.09,258.05,274.2,456.06,356.15,-472.21,-828.36,-321.01
O000088,P0039,1,336.22,7.54,336.22,25.35,310.87,195.43,410.68,332.86,-295.24,-628.1,-202.05
O000089,P0073,2,11356.84,7.77,22713.68,1764.85,20948.83,17517.68,197.92,172.8,3233.2300000000014,3060.43,14.61
O000089,P0114,1,6215.19,31.44,6215.19,1954.06,4261.13,5005.29,50.8,41.61,-794.9599999999998,-836.57,-19.63
O000090,P0018,3,358.1,26.44,1074.3,284.04,790.26,838.44,322.16,228.92,-370.3400000000001,-599.26,-75.83
O000090,P0072,5,388.5,8.2,1942.5,159.28,1783.21,1294.4,87.92,69.95,400.88999999999993,330.94,18.56
O000091,P0008,3,6092.87,3.42,18278.61,625.13,17653.48,14868.27,345.8,268.68,2439.409999999999,2170.73,12.3
O000092,P0043,3,10143.22,10.5,30429.66,3195.11,27234.55,18397.5,166.67,109.87,8670.38,8560.51,31.43
O000093,P0128,5,286.63,2.73,1433.15,39.12,1394.03,1302.1,244.86,160.22,-152.92999999999995,-313.15,-22.46
O000094,P0105,1,4639.49,9.24,4639.49,428.69,4210.8,3363.81,169.78,125.65,677.2100000000003,551.56,13.1
O000094,P0116,2,1398.9,5.62,2797.8,157.24,2640.56,1745.98,186.1,139.29,708.4799999999999,569.19,21.56
O000095,P0005,3,466.92,2.41,1400.76,33.76,1367.0,915.87,609.44,512.61,-158.31000000000006,-670.92,-49.08
O000095,P0014,2,19566.14,17.01,39132.28,6656.4,32475.88,30042.9,264.72,184.61,2168.2599999999993,1983.65,6.11
O000095,P0034,2,10596.8,15.09,21193.6,3198.11,17995.49,12682.98,1079.85,741.82,4232.660000000002,3490.84,19.4
O000096,P0084,1,4981.49,32.0,4981.49,1594.08,3387.41,3174.05,887.34,727.23,-673.9800000000004,-1401.21,-41.37
O000096,P0010,2,5075.1,17.12,10150.2,1737.71,8412.49,7111.04,1115.39,845.71,186.05999999999972,-659.65,-7.84
O000097,P0123,2,12398.59,10.59,24797.18,2626.02,22171.16,22881.26,123.06,106.71,-833.1599999999985,-939.87,-4.24
O000097,P0007,2,15044.28,24.29,30088.56,7308.51,22780.05,22612.6,197.02,150.23,-29.569999999999283,-179.8,-0.79
O000098,P0081,4,496.44,15.17,1985.76,301.24,1684.52,1237.12,310.46,193.84,136.9400000000001,-56.9,-3.38
O000099,P0014,2,19566.14,3.52,39132.28,1377.46,37754.82,30042.9,212.27,144.09,7499.649999999998,7355.56,19.48
O000100,P0030,1,13469.52,21.05,13469.52,2835.33,10634.19,7910.77,232.37,173.67,2491.05,2317.38,21.79
O000101,P0063,4,5367.44,20.98,21469.76,4504.36,16965.4,12778.48,434.1,380.88,3752.820000000002,3371.94,19.88
O000101,P0014,4,19566.14,3.52,78264.56,2754.91,75509.65,60085.8,864.03,642.83,14559.81999999999,13916.99,18.43
O000102,P0040,2,3411.56,9.25,6823.12,631.14,6191.98,5516.76,43.12,38.48,632.0999999999993,593.62,9.59
O000102,P0055,2,3314.76,20.89,6629.52,1384.91,5244.61,5285.02,514.2,404.09,-554.6100000000008,-958.7,-18.28
O000103,P0008,1,6092.87,35.0,6092.87,2132.5,3960.37,4956.09,373.19,280.83,-1368.9100000000003,-1649.74,-41.66
O000103,P0021,4,2035.78,25.13,8143.12,2046.37,6096.75,6537.72,214.38,187.49,-655.3500000000003,-842.84,-13.82
O000104,P0030,4,13469.52,14.08,53878.08,7586.03,46292.05,31643.08,45.06,37.94,14603.910000000002,14565.97,31.47
O000104,P0060,2,5164.73,17.19,10329.46,1775.63,8553.83,7326.26,375.52,253.5,852.0499999999997,598.55,7.0
O000105,P0011,1,10003.14,1.24,10003.14,124.04,9879.1,6245.51,390.88,274.76,3242.71,2967.95,30.04
O000105,P0114,1,6215.19,14.68,6215.19,912.39,5302.8,5005.29,909.9,608.07,-612.3899999999998,-1220.46,-23.02
O000105,P0016,1,13825.04,15.41,13825.04,2130.44,11694.6,9693.06,536.23,378.25,1465.3100000000009,1087.06,9.3
O000106,P0054,2,13330.72,15.72,26661.44,4191.18,22470.26,19029.16,374.3,241.88,3066.7999999999984,2824.92,12.57
O000106,P0120,3,174.46,24.56,523.38,128.54,394.84,396.12,384.25,258.27,-385.53000000000003,-643.8,-163.05
O000106,P0043,2,10143.22,12.02,20286.44,2438.43,17848.01,12265.0,192.58,169.35,5390.4299999999985,5221.08,29.25
O000107,P0006,3,2884.06,33.82,8652.18,2926.17,5726.01,5942.25,541.63,476.64,-757.8699999999998,-1234.51,-21.56
O000108,P0063,4,5367.44,7.68,21469.76,1648.88,19820.88,12778.48,135.12,109.19,6907.280000000002,6798.09,34.3
O000109,P0030,4,13469.52,27.22,53878.08,14665.61,39212.47,31643.08,179.19,144.05,7390.2,7246.15,18.48
O000110,P0093,1,203.4,16.96,203.4,34.5,168.9,134.92,320.72,255.77,-286.74,-542.51,-321.2
O000110,P0101,6,4618.3,15.78,27709.8,4372.61,23337.19,19281.96,242.37,153.36,3812.8599999999997,3659.5,15.68
O000111,P0013,6,4904.4,11.88,29426.4,3495.86,25930.54,17180.4,1062.79,714.06,7687.349999999999,6973.29,26.89
O000111,P0071,3,479.01,29.41,1437.03,422.63,1014.4,1043.4,393.67,291.98,-422.67000000000013,-714.65,-70.45
O000112,P0097,1,3722.23,27.49,3722.23,1023.24,2698.99,2880.16,234.48,206.48,-415.6500000000001,-622.13,-23.05
O000113,P0065,4,345.88,14.97,1383.52,207.11,1176.41,825.92,483.23,363.88,-132.7399999999999,-496.62,-42.21
O000113,P0003,2,216.76,14.24,433.52,61.73,371.79,360.58,176.28,153.02,-165.06999999999996,-318.09,-85.56
O000114,P0024,1,1084.37,13.57,1084.37,147.15,937.22,885.24,244.97,167.29,-192.98999999999998,-360.28,-38.44
O000114,P0002,2,12946.32,9.5,25892.64,2459.8,23432.84,16791.82,496.27,402.6,6144.75,5742.15,24.5
O000115,P0016,4,13825.04,15.46,55300.16,8549.4,46750.76,38772.24,847.51,527.07,7131.010000000004,6603.94,14.13
O000116,P0008,1,6092.87,6.11,6092.87,372.27,5720.6,4956.09,370.55,318.42,393.9600000000002,75.54,1.32
O000116,P0119,1,4024.67,2.44,4024.67,98.2,3926.47,2634.06,249.95,158.51,1042.4599999999998,883.95,22.51
O000117,P0128,2,286.63,4.12,573.26,23.62,549.64,520.84,218.75,189.79,-189.95000000000005,-379.74,-69.09
O000117,P0062,1,583.23,14.08,583.23,82.12,501.11,387.52,94.21,76.63,19.380000000000038,-57.25,-11.42
O000118,P0083,3,12868.65,16.15,38605.95,6234.86,32371.09,30320.34,118.08,76.94,1932.67,1855.73,5.73
