snapshot_date,product_id,inventory_units,reorder_level,inventory_value
2024-01-01,P0007,57,38,644459.1
2024-02-01,P0007,137,56,1548963.1
2024-03-01,P0007,72,22,814053.6
2024-04-01,P0007,161,84,1820314.3
2024-05-01,P0007,55,41,621846.5
2024-06-01,P0007,99,68,1119323.7
2024-07-01,P0007,59,23,667071.7
2024-08-01,P0007,133,38,1503737.9
2024-09-01,P0007,166,71,1876845.8
2024-10-01,P0007,97,40,1096711.1
2024-11-01,P0007,235,57,2656980.5
2024-12-01,P0007,167,89,1888152.1
2025-01-01,P0007,93,83,1051485.9
2025-02-01,P0007,116,37,1311530.8
2025-03-01,P0007,148,59,1673332.4
2025-04-01,P0007,143,60,1616800.9
2025-05-01,P0007,93,84,1051485.9
2025-06-01,P0007,127,27,1435900.1
2025-07-01,P0007,93,75,1051485.9
2025-08-01,P0007,139,66,1571575.7
2025-09-01,P0007,135,47,1526350.5
2025-10-01,P0007,129,21,1458512.7
2025-11-01,P0007,57,38,644459.1
2025-12-01,P0007,154,26,1741170.2
2023-01-01,P0008,288,47,1427353.92
2023-02-01,P0008,101,46,500565.09
2023-03-01,P0008,113,28,560038.17
2023-04-01,P0008,157,63,778106.13
2023-05-01,P0008,261,58,1293539.49
2023-06-01,P0008,168,35,832623.12
2023-07-01,P0008,140,49,693852.6
2023-08-01,P0008,113,45,560038.17
2023-09-01,P0008,107,85,530301.63
2023-10-01,P0008,160,65,792974.4
2023-11-01,P0008,270,23,1338144.3
2023-12-01,P0008,130,47,644291.7
2024-01-01,P0008,110,78,545169.9
2024-02-01,P0008,156,83,773150.04
2024-03-01,P0008,272,21,1348056.48
2024-04-01,P0008,172,44,852447.48
2024-05-01,P0008,163,61,807842.67
2024-06-01,P0008,216,58,1070515.44
2024-07-01,P0008,299,33,1481870.91
2024-08-01,P0008,196,66,971393.64
2024-09-01,P0008,58,83,287453.22
2024-10-01,P0008,184,61,911920.56
2024-11-01,P0008,111,34,550125.99
2024-12-01,P0008,136,53,674028.24
2025-01-01,P0008,269,21,1333188.21
2025-02-01,P0008,169,54,837579.21
2025-03-01,P0008,102,52,505521.18
2025-04-01,P0008,230,58,1139900.7
2025-05-01,P0008,112,62,555082.08
2025-06-01,P0008,146,46,723589.14
2025-07-01,P0008,114,82,564994.26
2025-08-01,P0008,165,70,817754.85
2025-09-01,P0008,213,27,1055647.17
2025-10-01,P0008,313,27,1551256.17
2025-11-01,P0008,232,72,1149812.88
2025-12-01,P0008,255,80,1263802.95
2023-01-01,P0009,86,50,697845.28
2023-02-01,P0009,149,47,1209057.52
2023-03-01,P0009,239,20,1939360.72
2023-04-01,P0009,203,69,1647239.44
2023-05-01,P0009,255,71,2069192.4
2023-06-01,P0009,219,66,1777071.12
2023-07-01,P0009,194,64,1574209.12
2023-08-01,P0009,148,73,1200943.04
2023-09-01,P0009,134,43,1087340.32
2023-10-01,P0009,201,31,1631010.48
2023-11-01,P0009,95,38,770875.6
2023-12-01,P0009,151,68,1225286.48
2024-01-01,P0009,143,32,1160370.64
2024-02-01,P0009,211,44,1712155.28
2024-03-01,P0009,104,79,843905.92
2024-04-01,P0009,193,30,1566094.64
2024-05-01,P0009,258,70,2093535.84
2024-06-01,P0009,182,58,1476835.36
2024-07-01,P0009,93,22,754646.64
2024-08-01,P0009,117,51,949394.16
2024-09-01,P0009,176,39,1428148.48
2024-10-01,P0009,148,54,1200943.04
2024-11-01,P0009,141,78,1144141.68
2024-12-01,P0009,198,45,1606667.04
2025-01-01,P0009,127,64,1030538.96
2025-02-01,P0009,188,79,1525522.24
2025-03-01,P0009,168,23,1363232.64
2025-04-01,P0009,211,25,1712155.28
2025-05-01,P0009,173,24,1403805.04
2025-06-01,P0009,62,79,503097.76
2025-07-01,P0009,89,28,722188.72
2025-08-01,P0009,173,32,1403805.04
2025-09-01,P0009,25,75,202862.0
2025-10-01,P0009,166,30,1347003.68
2025-11-01,P0009,145,77,1176599.6
2025-12-01,P0009,60,55,486868.8
2023-01-01,P0010,49,76,174220.48
2023-02-01,P0010,54,85,191998.08
2023-03-01,P0010,51,74,181331.52
2023-04-01,P0010,83,31,295108.16
2023-05-01,P0010,34,55,120887.68
2023-06-01,P0010,23,90,81776.96
2023-07-01,P0010,33,76,117332.16
2023-08-01,P0010,29,46,103110.08
2023-09-01,P0010,29,31,103110.08
2023-10-01,P0010,46,56,163553.92
2023-11-01,P0010,65,74,231108.8
2023-12-01,P0010,36,20,127998.72
2024-01-01,P0010,71,35,252441.92
2024-02-01,P0010,40,26,142220.8
2024-03-01,P0010,61,52,216886.72
2024-04-01,P0010,49,76,174220.48
2024-05-01,P0010,31,66,110221.12
2024-06-01,P0010,33,82,117332.16
2024-07-01,P0010,79,66,280886.08
2024-08-01,P0010,54,44,191998.08
2024-09-01,P0010,52,29,184887.04
2024-10-01,P0010,42,59,149331.84
2024-11-01,P0010,54,50,191998.08
2024-12-01,P0010,41,21,145776.32
2025-01-01,P0010,66,30,234664.32
2025-02-01,P0010,52,80,184887.04
2025-03-01,P0010,60,28,213331.2
2025-04-01,P0010,16,33,56888.32
2025-05-01,P0010,75,25,266664.0
2025-06-01,P0010,54,70,191998.08
2025-07-01,P0010,34,62,120887.68
2025-08-01,P0010,98,84,348440.96
2025-09-01,P0010,31,44,110221.12
2025-10-01,P0010,71,87,252441.92
2025-11-01,P0010,49,64,174220.48
2025-12-01,P0010,43,37,152887.36
2023-01-01,P0011,117,78,730724.67
2023-02-01,P0011,66,38,412203.66
2023-03-01,P0011,172,89,1074227.72
2023-04-01,P0011,190,43,1186646.9
2023-05-01,P0011,167,85,1043000.17
2023-06-01,P0011,196,82,1224119.96
2023-07-01,P0011,188,63,1174155.88
2023-08-01,P0011,143,84,893107.93
2023-09-01,P0011,69,67,430940.19
2023-10-01,P0011,92,62,574586.92
2023-11-01,P0011,85,32,530868.35
2023-12-01,P0011,152,37,949317.52
2024-01-01,P0011,173,40,1080473.23
2024-02-01,P0011,109,54,680760.59
2024-03-01,P0011,98,56,612059.98
2024-04-01,P0011,198,55,1236610.98
2024-05-01,P0011,122,86,761952.22
2024-06-01,P0011,152,84,949317.52
2024-07-01,P0011,185,82,1155419.35
2024-08-01,P0011,162,27,1011772.62
2024-09-01,P0011,188,47,1174155.88
2024-10-01,P0011,174,55,1086718.74
2024-11-01,P0011,137,71,855634.87
2024-12-01,P0011,178,77,1111700.78
2025-01-01,P0011,138,57,861880.38
2025-02-01,P0011,145,54,905598.95
2025-03-01,P0011,56,84,349748.56
2025-04-01,P0011,153,56,955563.03
2025-05-01,P0011,185,75,1155419.35
2025-06-01,P0011,125,20,780688.75
2025-07-01,P0011,200,45,1249102.0
2025-08-01,P0011,233,68,1455203.83
2025-09-01,P0011,99,51,618305.49
2025-10-01,P0011,141,69,880616.91
2025-11-01,P0011,129,71,805670.79
2025-12-01,P0011,140,42,874371.4
2023-01-01,P0012,58,66,47771.7
2023-02-01,P0012,35,77,28827.75
2023-03-01,P0012,54,22,44477.1
2023-04-01,P0012,31,54,25533.15
2023-05-01,P0012,33,41,27180.45
2023-06-01,P0012,43,77,35416.95
2023-07-01,P0012,44,89,36240.6
2023-08-01,P0012,36,77,29651.4
2023-09-01,P0012,29,76,23885.85
2023-10-01,P0012,23,35,18943.95
2023-11-01,P0012,28,28,23062.2
2023-12-01,P0012,39,43,32122.35
2024-01-01,P0012,73,79,60126.45
2024-02-01,P0012,31,85,25533.15
2024-03-01,P0012,29,28,23885.85
2024-04-01,P0012,11,68,9060.15
2024-05-01,P0012,39,34,32122.35
2024-06-01,P0012,54,45,44477.1
2024-07-01,P0012,48,33,39535.2
2024-08-01,P0012,39,69,32122.35
2024-09-01,P0012,25,84,20591.25
2024-10-01,P0012,25,88,20591.25
2024-11-01,P0012,39,33,32122.35
2024-12-01,P0012,58,47,47771.7
2025-01-01,P0012,36,25,29651.4
2025-02-01,P0012,33,34,27180.45
2025-03-01,P0012,41,76,33769.65
2025-04-01,P0012,24,85,19767.6
2025-05-01,P0012,24,67,19767.6
2025-06-01,P0012,51,61,42006.15
2025-07-01,P0012,34,74,28004.1
2025-08-01,P0012,32,69,26356.8
2025-09-01,P0012,7,62,5765.55
2025-10-01,P0012,17,78,14002.05
2025-11-01,P0012,51,40,42006.15
2025-12-01,P0012,48,24,39535.2
2023-01-01,P0013,7,77,20043.8
2023-02-01,P0013,43,31,123126.2
2023-03-01,P0013,27,40,77311.8
2023-04-01,P0013,19,25,54404.6
2023-05-01,P0013,26,84,74448.4
2023-06-01,P0013,12,28,34360.8
2023-07-01,P0013,24,49,68721.6
2023-08-01,P0013,30,51,85902.0
2023-09-01,P0013,10,42,28634.0
2023-10-01,P0013,30,56,85902.0
2023-11-01,P0013,33,34,94492.2
2023-12-01,P0013,14,39,40087.6
2024-01-01,P0013,29,60,83038.6
2024-02-01,P0013,13,56,37224.2
2024-03-01,P0013,20,74,57268.0
2024-04-01,P0013,15,20,42951.0
2024-05-01,P0013,33,32,94492.2
2024-06-01,P0013,26,46,74448.4
2024-07-01,P0013,29,50,83038.6
2024-08-01,P0013,32,59,91628.8
2024-09-01,P0013,22,88,62994.8
2024-10-01,P0013,17,66,48677.8
2024-11-01,P0013,31,44,88765.4
2024-12-01,P0013,29,70,83038.6
2025-01-01,P0013,10,87,28634.0
2025-02-01,P0013,26,32,74448.4
2025-03-01,P0013,8,27,22907.2
2025-04-01,P0013,19,88,54404.6
2025-05-01,P0013,28,82,80175.2
2025-06-01,P0013,29,78,83038.6
2025-07-01,P0013,41,74,117399.4
2025-08-01,P0013,30,80,85902.0
2025-09-01,P0013,11,56,31497.4
2025-10-01,P0013,22,72,62994.8
2025-11-01,P0013,29,77,83038.6
2025-12-01,P0013,12,30,34360.8
2023-01-01,P0014,219,53,3289697.55
2023-02-01,P0014,317,83,4761799.65
2023-03-01,P0014,196,31,2944204.2
2023-04-01,P0014,210,38,3154504.5
2023-05-01,P0014,245,66,3680255.25
2023-06-01,P0014,224,25,3364804.8
2023-07-01,P0014,154,51,2313303.3
2023-08-01,P0014,180,80,2703861.0
2023-09-01,P0014,111,27,1667380.95
2023-10-01,P0014,321,24,4821885.45
2023-11-01,P0014,69,33,1036480.05
2023-12-01,P0014,125,30,1877681.25
2024-01-01,P0014,231,34,3469954.95
2024-02-01,P0014,349,72,5242486.05
2024-03-01,P0014,159,60,2388410.55
2024-04-01,P0014,3,45,45064.35
2024-05-01,P0014,71,80,1066522.95
2024-06-01,P0014,274,81,4115877.3
2024-07-01,P0014,78,62,1171673.1
2024-08-01,P0014,3,56,45064.35
2024-09-01,P0014,117,73,1757509.65
2024-10-01,P0014,200,42,3004290.0
2024-11-01,P0014,195,58,2929182.75
2024-12-01,P0014,289,25,4341199.05
2025-01-01,P0014,144,70,2163088.8
2025-02-01,P0014,175,33,2628753.75
2025-03-01,P0014,144,69,2163088.8
2025-04-01,P0014,134,46,2012874.3
2025-05-01,P0014,193,43,2899139.85
2025-06-01,P0014,161,84,2418453.45
2025-07-01,P0014,142,46,2133045.9
2025-08-01,P0014,75,72,1126608.75
2025-09-01,P0014,86,82,1291844.7
2025-10-01,P0014,279,76,4190984.55
2025-11-01,P0014,243,67,3650212.35
2025-12-01,P0014,167,83,2508582.15
2023-01-01,P0015,86,88,813758.66
2023-02-01,P0015,59,65,558276.29
2023-03-01,P0015,66,52,624512.46
2023-04-01,P0015,130,22,1230100.3
2023-05-01,P0015,32,79,302793.92
2023-06-01,P0015,112,34,1059778.72
2023-07-01,P0015,63,58,596125.53
2023-08-01,P0015,73,30,690748.63
2023-09-01,P0015,92,32,870532.52
2023-10-01,P0015,79,75,747522.49
2023-11-01,P0015,36,40,340643.16
2023-12-01,P0015,114,31,1078703.34
2024-01-01,P0015,82,66,775909.42
2024-02-01,P0015,21,39,198708.51
2024-03-01,P0015,82,50,775909.42
2024-04-01,P0015,74,87,700210.94
2024-05-01,P0015,62,39,586663.22
2024-06-01,P0015,27,48,255482.37
2024-07-01,P0015,120,32,1135477.2
2024-08-01,P0015,49,59,463653.19
2024-09-01,P0015,79,28,747522.49
2024-10-01,P0015,93,20,879994.83
2024-11-01,P0015,51,56,482577.81
2024-12-01,P0015,76,69,719135.56
2025-01-01,P0015,66,89,624512.46
2025-02-01,P0015,38,77,359567.78
2025-03-01,P0015,63,33,596125.53
2025-04-01,P0015,53,64,501502.43
2025-05-01,P0015,73,73,690748.63
2025-06-01,P0015,139,31,1315261.09
2025-07-01,P0015,92,38,870532.52
2025-08-01,P0015,63,43,596125.53
2025-09-01,P0015,83,20,785371.73
2025-10-01,P0015,129,74,1220637.99
2025-11-01,P0015,25,74,236557.75
2025-12-01,P0015,44,77,416341.64
2023-01-01,P0016,28,61,271405.68
2023-02-01,P0016,73,67,707593.38
2023-03-01,P0016,48,67,465266.88
2023-04-01,P0016,32,70,310177.92
2023-05-01,P0016,32,63,310177.92
2023-06-01,P0016,51,21,494346.06
2023-07-01,P0016,51,53,494346.06
2023-08-01,P0016,37,69,358643.22
2023-09-01,P0016,48,76,465266.88
2023-10-01,P0016,17,69,164782.02
2023-11-01,P0016,56,66,542811.36
2023-12-01,P0016,67,63,649435.02
2024-01-01,P0016,47,24,455573.82
2024-02-01,P0016,44,64,426494.64
2024-03-01,P0016,54,75,523425.24
2024-04-01,P0016,38,26,368336.28
2024-05-01,P0016,56,63,542811.36
2024-06-01,P0016,39,79,378029.34
2024-07-01,P0016,44,37,426494.64
2024-08-01,P0016,46,47,445880.76
2024-09-01,P0016,26,68,252019.56
2024-10-01,P0016,37,56,358643.22
2024-11-01,P0016,28,81,271405.68
2024-12-01,P0016,39,59,378029.34
2025-01-01,P0016,50,51,484653.0
2025-02-01,P0016,65,20,630048.9
2025-03-01,P0016,36,36,348950.16
2025-04-01,P0016,33,21,319870.98
2025-05-01,P0016,50,81,484653.0
2025-06-01,P0016,30,74,290791.8
2025-07-01,P0016,43,81,416801.58
2025-08-01,P0016,22,30,213247.32
2025-09-01,P0016,11,58,106623.66
2025-10-01,P0016,40,75,387722.4
2025-11-01,P0016,48,40,465266.88
2025-12-01,P0016,33,45,319870.98
2023-01-01,P0017,154,33,754695.48
2023-02-01,P0017,125,34,612577.5
2023-03-01,P0017,31,85,151919.22
2023-04-01,P0017,95,40,465558.9
2023-05-01,P0017,161,41,788999.82
2023-06-01,P0017,81,41,396950.22
2023-07-01,P0017,106,54,519465.72
2023-08-01,P0017,128,89,627279.36
2023-09-01,P0017,81,90,396950.22
2023-10-01,P0017,166,59,813502.92
2023-11-01,P0017,93,63,455757.66
2023-12-01,P0017,67,88,328341.54
2024-01-01,P0017,65,35,318540.3
2024-02-01,P0017,121,60,592975.02
2024-03-01,P0017,81,43,396950.22
2024-04-01,P0017,94,76,460658.28
2024-05-01,P0017,194,78,950720.28
2024-06-01,P0017,156,34,764496.72
2024-07-01,P0017,125,29,612577.5
2024-08-01,P0017,97,50,475360.14
2024-09-01,P0017,102,29,499863.24
2024-10-01,P0017,53,64,259732.86
2024-11-01,P0017,106,35,519465.72
2024-12-01,P0017,78,77,382248.36
2025-01-01,P0017,35,75,171521.7
2025-02-01,P0017,126,81,617478.12
2025-03-01,P0017,149,84,730192.38
2025-04-01,P0017,85,90,416552.7
2025-05-01,P0017,100,39,490062.0
2025-06-01,P0017,63,50,308739.06
2025-07-01,P0017,108,65,529266.96
2025-08-01,P0017,54,66,264633.48
2025-09-01,P0017,88,29,431254.56
2025-10-01,P0017,152,48,744894.24
2025-11-01,P0017,64,65,313639.68
2025-12-01,P0017,135,45,661583.7
2023-01-01,P0018,55,78,15371.4
2023-02-01,P0018,61,65,17048.28
2023-03-01,P0018,90,37,25153.2
2023-04-01,P0018,41,48,11458.68
2023-05-01,P0018,110,64,30742.8
2023-06-01,P0018,70,30,19563.6
2023-07-01,P0018,92,56,25712.16
2023-08-01,P0018,61,25,17048.28
2023-09-01,P0018,61,48,17048.28
2023-10-01,P0018,50,84,13974.0
2023-11-01,P0018,56,27,15650.88
2023-12-01,P0018,108,80,30183.84
2024-01-01,P0018,58,79,16209.84
2024-02-01,P0018,63,85,17607.24
2024-03-01,P0018,76,60,21240.48
2024-04-01,P0018,119,28,33258.12
2024-05-01,P0018,57,58,15930.36
2024-06-01,P0018,61,66,17048.28
2024-07-01,P0018,67,51,18725.16
2024-08-01,P0018,72,84,20122.56
2024-09-01,P0018,50,60,13974.0
2024-10-01,P0018,54,42,15091.92
2024-11-01,P0018,81,85,22637.88
2024-12-01,P0018,102,47,28506.96
2025-01-01,P0018,130,87,36332.4
2025-02-01,P0018,40,68,11179.2
2025-03-01,P0018,68,68,19004.64
2025-04-01,P0018,27,52,7545.96
2025-05-01,P0018,42,79,11738.16
2025-06-01,P0018,68,22,19004.64
2025-07-01,P0018,62,85,17327.76
2025-08-01,P0018,43,72,12017.64
2025-09-01,P0018,107,50,29904.36
2025-10-01,P0018,38,73,10620.24
2025-11-01,P0018,91,79,25432.68
2025-12-01,P0018,38,52,10620.24
2023-01-01,P0019,185,44,28952.5
2023-02-01,P0019,137,61,21440.5
2023-03-01,P0019,98,63,15337.0
2023-04-01,P0019,140,68,21910.0
2023-05-01,P0019,174,55,27231.0
2023-06-01,P0019,81,39,12676.5
2023-07-01,P0019,147,38,23005.5
2023-08-01,P0019,181,49,28326.5
2023-09-01,P0019,139,29,21753.5
2023-10-01,P0019,177,58,27700.5
2023-11-01,P0019,114,57,17841.0
2023-12-01,P0019,123,25,19249.5
2024-01-01,P0019,112,88,17528.0
2024-02-01,P0019,179,28,28013.5
2024-03-01,P0019,157,79,24570.5
2024-04-01,P0019,112,42,17528.0
2024-05-01,P0019,148,37,23162.0
2024-06-01,P0019,155,66,24257.5
2024-07-01,P0019,153,86,23944.5
2024-08-01,P0019,144,27,22536.0
2024-09-01,P0019,131,44,20501.5
2024-10-01,P0019,155,82,24257.5
2024-11-01,P0019,118,36,18467.0
2024-12-01,P0019,129,81,20188.5
2025-01-01,P0019,188,84,29422.0
2025-02-01,P0019,154,34,24101.0
2025-03-01,P0019,150,72,23475.0
2025-04-01,P0019,138,43,21597.0
2025-05-01,P0019,169,47,26448.5
2025-06-01,P0019,92,72,14398.0
2025-07-01,P0019,152,57,23788.0
2025-08-01,P0019,145,63,22692.5
2025-09-01,P0019,131,69,20501.5
2025-10-01,P0019,121,31,18936.5
2025-11-01,P0019,150,79,23475.0
2025-12-01,P0019,163,60,25509.5
2023-01-01,P0020,285,84,127717.05
2023-02-01,P0020,294,53,131750.22
2023-03-01,P0020,302,24,135335.26
2023-04-01,P0020,381,30,170737.53
2023-05-01,P0020,285,46,127717.05
2023-06-01,P0020,197,69,88281.61
