customer_id,customer_name,segment,region,city,signup_date,customer_tenure_months,order_count,last_order_date,lifetime_revenue,lifetime_profit,customer_value_band
C00032,Customer 0032,Consumer,West,Mumbai,2024-08-02,30,25,2025-10-12,439705.73,19011.1,Very High
C00033,Customer 0033,Home Office,North,Chandigarh,2026-04-22,13,8,2025-05-26,148832.02,14264.17,Very High
C00034,Customer 0034,Consumer,East,Kolkata,2023-11-02,18,10,2025-12-12,281587.05,48955.0,Very High
C00035,Customer 0035,Consumer,South,Hyderabad,2024-09-21,39,10,2025-11-26,175691.32,8918.95,Very High
C00036,Customer 0036,Consumer,West,Surat,2024-09-14,26,16,2025-10-21,334888.88,28639.09,Very High
C00037,Customer 0037,Consumer,West,Surat,2026-05-09,3,13,2025-10-27,169119.8,14873.67,Very High
C00038,Customer 0038,Consumer,East,Guwahati,2023-02-22,6,13,2025-12-27,190167.14,22964.75,Very High
C00039,Customer 0039,Home Office,South,Hyderabad,2024-07-05,37,20,2025-09-15,277898.39,18572.96,Very High
C00040,Customer 0040,Consumer,North,Chandigarh,2025-06-24,18,21,2025-08-20,514585.76,55293.14,Very High
C00041,Customer 0041,Corporate,South,Kochi,2025-10-04,6,15,2025-11-02,118284.47,7106.28,High
C00042,Customer 0042,Consumer,East,Guwahati,2024-10-19,7,24,2025-11-12,358143.45,45797.06,Very High
C00043,Customer 0043,Consumer,South,Chennai,2025-10-11,19,16,2025-12-20,191153.07,19527.73,Very High
C00044,Customer 0044,Consumer,East,Kolkata,2024-10-06,17,14,2025-10-31,271274.16,28488.98,Very High
C00045,Customer 0045,Home Office,West,Mumbai,2025-04-07,33,14,2025-10-17,219828.9,13062.98,Very High
C00046,Customer 0046,Consumer,North,Lucknow,2024-01-20,34,13,2025-11-13,148716.3,17398.18,Very High
C00047,Customer 0047,Corporate,West,Surat,2023-04-16,14,12,2025-10-05,253125.82,31281.69,Very High
C00048,Customer 0048,Home Office,West,Pune,2025-06-16,32,20,2025-12-31,382461.69,36656.24,Very High
C00049,Customer 0049,Home Office,North,Delhi,2026-05-31,16,13,2025-12-02,319522.81,37532.12,Very High
C00050,Customer 0050,Consumer,South,Chennai,2026-02-05,27,11,2025-10-31,176949.47,25458.03,Very High
C00051,Customer 0051,Home Office,North,Chandigarh,2023-08-21,30,15,2025-10-10,315334.89,34398.73,Very High
C00052,Customer 0052,Consumer,North,Chandigarh,2024-08-20,33,13,2025-12-20,319109.05,46614.31,Very High
C00053,Customer 0053,Home Office,West,Surat,2025-08-25,16,23,2025-11-09,317189.46,30939.89,Very High
C00054,Customer 0054,Consumer,East,Bhubaneswar,2026-05-12,33,17,2025-02-02,287685.25,31280.79,Very High
C00055,Customer 0055,Consumer,South,Hyderabad,2025-04-29,22,14,2025-12-25,211309.41,43924.17,Very High
C00056,Customer 0056,Consumer,West,Mumbai,2024-09-03,38,13,2025-12-02,199838.77,30842.25,Very High
C00057,Customer 0057,Consumer,East,Bhubaneswar,2025-09-18,23,9,2025-12-05,144175.15,15339.62,Very High
C00058,Customer 0058,Consumer,West,Surat,2024-10-21,13,12,2025-11-15,124540.91,14198.12,Very High
C00059,Customer 0059,Consumer,South,Kochi,2025-04-21,3,15,2025-12-08,251944.58,38502.87,Very High
C00060,Customer 0060,Corporate,West,Surat,2025-02-19,25,17,2025-11-16,511870.74,40137.7,Very High
C00061,Customer 0061,Home Office,South,Kochi,2023-09-16,33,16,2025-12-27,305883.69,44667.61,Very High
C00062,Customer 0062,Home Office,West,Mumbai,2025-06-20,7,14,2025-02-10,392794.29,78732.51,Very High
C00063,Customer 0063,Corporate,East,Kolkata,2025-04-19,42,20,2025-09-24,238295.58,18604.83,Very High
C00064,Customer 0064,Consumer,South,Hyderabad,2024-06-26,22,19,2025-12-31,404950.33,44257.39,Very High
C00065,Customer 0065,Home Office,East,Kolkata,2025-12-28,25,20,2025-12-13,371116.53,27691.92,Very High
C00066,Customer 0066,Home Office,West,Surat,2023-03-15,40,9,2025-04-08,170480.72,16612.42,Very High
C00067,Customer 0067,Corporate,North,Chandigarh,2024-08-11,15,15,2025-10-24,324431.92,41757.73,Very High
C00068,Customer 0068,Home Office,North,Lucknow,2023-07-25,29,14,2025-11-08,195283.98,4293.53,Very High
C00069,Customer 0069,Home Office,South,Chennai,2023-04-05,21,20,2025-12-22,378463.21,68134.61,Very High
C00070,Customer 0070,Consumer,North,Jaipur,2025-06-01,10,20,2025-12-21,426878.47,29617.98,Very High
C00071,Customer 0071,Consumer,South,Kochi,2024-01-04,11,15,2025-07-05,311618.87,53206.55,Very High
C00072,Customer 0072,Consumer,South,Hyderabad,2025-02-22,40,15,2025-12-27,373529.51,20011.34,Very High
C00073,Customer 0073,Home Office,South,Kochi,2023-10-21,15,15,2025-07-31,381770.48,57436.98,Very High
C00074,Customer 0074,Consumer,East,Guwahati,2023-01-20,30,12,2025-10-07,172701.78,24284.96,Very High
C00075,Customer 0075,Consumer,West,Pune,2024-12-08,38,17,2025-12-24,232601.69,-747.79,Very High
C00076,Customer 0076,Corporate,West,Surat,2025-07-24,20,15,2025-11-14,184300.6,30426.8,Very High
C00077,Customer 0077,Home Office,South,Kochi,2023-08-07,16,22,2025-10-24,397912.96,36127.07,Very High
C00078,Customer 0078,Consumer,East,Guwahati,2024-08-27,2,14,2025-07-30,219068.99,13516.4,Very High
C00079,Customer 0079,Consumer,East,Guwahati,2023-04-11,39,15,2025-10-29,298809.37,40592.92,Very High
C00080,Customer 0080,Corporate,East,Guwahati,2024-04-16,39,16,2025-10-19,248593.44,37280.64,Very High
C00081,Customer 0081,Corporate,West,Pune,2024-05-28,9,14,2025-11-30,321858.41,24431.99,Very High
C00082,Customer 0082,Consumer,North,Delhi,2025-06-21,3,18,2025-11-30,354552.29,36771.09,Very High
C00083,Customer 0083,Consumer,West,Pune,2024-08-27,21,16,2025-12-28,385164.52,33767.29,Very High
C00084,Customer 0084,Consumer,East,Bhubaneswar,2026-01-09,24,19,2025-12-12,541310.36,61383.16,Very High
C00085,Customer 0085,Consumer,West,Pune,2025-09-13,19,9,2025-08-10,98201.7,-967.05,High
C00086,Customer 0086,Consumer,West,Mumbai,2023-06-04,10,13,2025-09-13,301575.11,28225.63,Very High
C00087,Customer 0087,Home Office,South,Kochi,2026-02-15,24,19,2025-10-24,397209.57,21996.69,Very High
C00088,Customer 0088,Consumer,North,Lucknow,2026-01-03,8,17,2025-09-10,414884.75,30042.14,Very High
C00089,Customer 0089,Corporate,East,Guwahati,2024-06-20,38,14,2025-11-22,312007.97,33528.15,Very High
C00090,Customer 0090,Consumer,East,Guwahati,2024-04-23,31,19,2025-09-15,419437.91,55490.73,Very High
C00091,Customer 0091,Home Office,North,Jaipur,2024-03-29,42,17,2025-11-03,332200.77,-9199.5,Very High
C00092,Customer 0092,Home Office,North,Lucknow,2024-09-10,42,17,2025-12-04,295292.81,31759.18,Very High
C00093,Customer 0093,Consumer,East,Kolkata,2023-03-18,20,20,2025-12-01,387932.14,51242.28,Very High
C00094,Customer 0094,Consumer,East,Kolkata,2026-01-05,9,16,2025-12-31,394209.86,40403.92,Very High
C00095,Customer 0095,Consumer,East,Patna,2026-01-11,27,18,2025-10-06,343295.02,30097.63,Very High
C00096,Customer 0096,Corporate,South,Kochi,2025-09-29,40,16,2025-11-25,239103.27,28335.89,Very High
C00097,Customer 0097,Consumer,East,Guwahati,2025-01-28,14,19,2025-12-30,358260.24,41448.03,Very High
C00098,Customer 0098,Home Office,East,Patna,2025-01-12,7,14,2025-12-23,282597.87,35145.13,Very High
C00099,Customer 0099,Consumer,West,Ahmedabad,2024-07-19,13,17,2025-12-07,266342.33,38163.34,Very High
C00100,Customer 0100,Consumer,North,Lucknow,2024-03-10,42,22,2025-12-08,378613.1,37852.84,Very High
C00101,Customer 0101,Corporate,North,Delhi,2024-05-13,9,18,2025-07-25,326400.14,29214.41,Very High
C00102,Customer 0102,Home Office,South,Hyderabad,2026-02-09,14,10,2025-11-03,118164.48,-360.46,High
C00103,Customer 0103,Consumer,South,Bengaluru,2023-10-30,39,16,2025-10-27,355951.36,57888.45,Very High
C00104,Customer 0104,Home Office,North,Jaipur,2023-10-24,9,18,2025-11-06,397413.97,45853.12,Very High
C00105,Customer 0105,Consumer,West,Pune,2023-02-22,9,14,2025-06-22,171386.37,16700.37,Very High
C00106,Customer 0106,Corporate,North,Jaipur,2024-05-02,38,18,2025-12-06,342189.74,51519.61,Very High
C00107,Customer 0107,Consumer,West,Mumbai,2023-04-18,9,14,2025-10-20,254427.96,26638.49,Very High
C00108,Customer 0108,Corporate,East,Kolkata,2025-09-02,29,14,2025-12-11,277200.05,52885.32,Very High
C00109,Customer 0109,Consumer,West,Mumbai,2024-03-29,40,17,2025-12-28,468620.78,67297.46,Very High
C00110,Customer 0110,Consumer,North,Jaipur,2023-03-05,4,12,2025-10-27,227875.58,18620.8,Very High
C00111,Customer 0111,Consumer,East,Patna,2023-08-10,32,15,2025-11-11,489045.45,98696.44,Very High
C00112,Customer 0112,Home Office,East,Kolkata,2024-10-21,39,14,2025-10-12,131590.17,13078.65,Very High
C00113,Customer 0113,Consumer,South,Hyderabad,2026-04-13,36,16,2025-12-13,297913.92,35769.25,Very High
C00114,Customer 0114,Home Office,West,Surat,2025-12-22,19,11,2025-12-12,153611.09,12742.5,Very High
C00115,Customer 0115,Consumer,East,Patna,2023-08-23,42,14,2025-12-04,405351.64,46275.68,Very High
C00116,Customer 0116,Consumer,South,Kochi,2024-04-12,27,11,2025-12-17,149102.34,13513.22,Very High
C00117,Customer 0117,Consumer,West,Surat,2023-07-14,21,19,2025-12-17,347977.88,25203.82,Very High
C00118,Customer 0118,Corporate,East,Guwahati,2025-02-05,10,20,2025-12-31,289426.39,27565.19,Very High
C00119,Customer 0119,Consumer,East,Kolkata,2023-06-24,6,18,2025-12-19,304066.14,32332.29,Very High
C00120,Customer 0120,Corporate,East,Kolkata,2025-02-02,9,15,2025-11-15,272045.53,27463.76,Very High
C00121,Customer 0121,Corporate,North,Jaipur,2025-04-21,23,22,2025-09-28,524004.83,69246.33,Very High
C00122,Customer 0122,Home Office,East,Kolkata,2026-05-14,20,17,2025-12-07,435286.36,34318.42,Very High
C00123,Customer 0123,Consumer,West,Mumbai,2024-03-11,10,20,2025-12-14,521717.73,69231.68,Very High
C00124,Customer 0124,Home Office,East,Bhubaneswar,2024-12-18,36,12,2024-11-16,276939.42,34239.65,Very High
C00125,Customer 0125,Corporate,West,Mumbai,2026-03-21,15,19,2025-10-20,251148.74,20292.75,Very High
C00126,Customer 0126,Consumer,East,Kolkata,2024-07-01,2,20,2025-10-25,462163.78,17510.08,Very High
C00127,Customer 0127,Corporate,South,Chennai,2024-09-24,22,12,2025-12-27,261695.45,31467.51,Very High
C00128,Customer 0128,Consumer,West,Mumbai,2023-10-21,37,15,2025-11-14,348770.88,21354.19,Very High
C00129,Customer 0129,Consumer,East,Kolkata,2023-03-04,6,19,2025-10-31,423217.18,62266.83,Very High
C00130,Customer 0130,Consumer,South,Kochi,2024-11-29,11,8,2025-11-01,103343.74,16710.69,High
C00131,Customer 0131,Corporate,West,Ahmedabad,2026-03-08,39,10,2025-12-23,145648.45,19004.77,Very High
C00132,Customer 0132,Consumer,North,Delhi,2023-04-12,6,10,2024-08-16,119510.57,-246.01,High
C00133,Customer 0133,Corporate,West,Surat,2025-09-21,39,22,2025-12-28,327265.7,38881.99,Very High
C00134,Customer 0134,Consumer,East,Patna,2025-11-15,8,16,2025-10-23,138640.47,9544.53,Very High
C00135,Customer 0135,Consumer,West,Surat,2026-04-29,32,15,2025-12-10,330163.94,19842.42,Very High
C00136,Customer 0136,Consumer,West,Mumbai,2026-05-12,4,12,2025-11-21,155575.85,26395.53,Very High
C00137,Customer 0137,Consumer,North,Chandigarh,2024-03-08,9,15,2025-11-09,262753.34,20618.69,Very High
C00138,Customer 0138,Consumer,West,Ahmedabad,2023-01-16,32,14,2025-11-05,318354.5,40431.8,Very High
C00139,Customer 0139,Consumer,East,Bhubaneswar,2025-12-26,15,15,2025-11-30,202948.47,11939.87,Very High
C00140,Customer 0140,Consumer,West,Mumbai,2023-03-28,28,9,2025-03-14,110560.41,5493.72,High
C00141,Customer 0141,Home Office,North,Lucknow,2024-10-03,37,15,2025-09-06,326474.74,13793.44,Very High
C00142,Customer 0142,Corporate,East,Patna,2025-05-05,19,17,2025-03-23,333336.44,36299.98,Very High
C00143,Customer 0143,Consumer,North,Lucknow,2024-10-27,11,12,2025-11-22,241019.7,-22867.13,Very High
C00144,Customer 0144,Consumer,East,Guwahati,2023-08-05,16,16,2025-08-25,293160.77,31870.95,Very High
C00145,Customer 0145,Consumer,East,Patna,2025-03-21,20,11,2025-06-23,232327.24,18772.5,Very High
C00146,Customer 0146,Consumer,West,Pune,2023-12-11,5,16,2025-02-13,337866.67,37963.04,Very High
C00147,Customer 0147,Home Office,North,Chandigarh,2024-12-16,23,18,2025-11-14,181945.98,17479.09,Very High
C00148,Customer 0148,Consumer,South,Bengaluru,2024-06-08,13,15,2025-12-12,294739.1,19089.44,Very High
C00149,Customer 0149,Corporate,South,Bengaluru,2023-06-04,12,25,2025-09-03,489291.54,68708.2,Very High
C00150,Customer 0150,Corporate,East,Patna,2026-04-01,29,15,2025-11-20,367963.78,54022.68,Very High
C00151,Customer 0151,Consumer,West,Ahmedabad,2023-05-20,31,14,2025-12-14,383026.78,39419.33,Very High
C00152,Customer 0152,Corporate,East,Guwahati,2026-04-26,4,19,2025-11-25,321574.03,12444.86,Very High
C00153,Customer 0153,Consumer,West,Mumbai,2025-07-14,3,17,2025-12-26,405191.11,56443.9,Very High
C00154,Customer 0154,Home Office,North,Jaipur,2023-06-07,42,16,2025-11-11,318986.4,27537.97,Very High
C00155,Customer 0155,Consumer,North,Lucknow,2026-02-09,3,12,2025-07-25,295862.74,57102.58,Very High
C00156,Customer 0156,Consumer,East,Bhubaneswar,2025-09-01,33,18,2025-09-22,237087.46,33395.62,Very High
C00157,Customer 0157,Consumer,South,Hyderabad,2024-12-04,6,18,2025-10-28,367886.28,31061.98,Very High
C00158,Customer 0158,Consumer,South,Hyderabad,2025-06-15,29,18,2025-12-24,407155.56,55985.66,Very High
C00159,Customer 0159,Consumer,South,Chennai,2024-08-02,25,14,2025-08-26,233729.12,34256.6,Very High
C00160,Customer 0160,Corporate,East,Guwahati,2023-04-18,41,14,2025-12-07,204297.26,26435.34,Very High
C00161,Customer 0161,Consumer,West,Mumbai,2026-02-16,25,11,2025-09-22,252161.26,26065.35,Very High
C00162,Customer 0162,Corporate,West,Ahmedabad,2026-05-19,10,16,2025-12-18,358958.52,68930.58,Very High
C00163,Customer 0163,Consumer,West,Mumbai,2023-10-17,23,12,2025-08-22,257739.36,32632.62,Very High
C00164,Customer 0164,Consumer,West,Surat,2023-06-23,20,17,2025-07-08,616764.51,86625.0,Very High
C00165,Customer 0165,Corporate,East,Guwahati,2025-12-14,6,19,2025-08-15,349213.1,35282.39,Very High
C00166,Customer 0166,Consumer,East,Guwahati,2024-09-24,12,17,2025-12-07,306598.64,27051.41,Very High
C00167,Customer 0167,Home Office,South,Chennai,2025-09-22,13,21,2025-10-31,233273.46,9781.62,Very High
C00168,Customer 0168,Consumer,South,Bengaluru,2024-08-28,7,23,2025-12-07,357099.27,33555.59,Very High
C00169,Customer 0169,Home Office,North,Jaipur,2023-09-26,39,17,2025-11-30,357815.84,25865.46,Very High
C00170,Customer 0170,Consumer,East,Bhubaneswar,2023-12-06,29,16,2025-12-15,293539.49,28540.57,Very High
C00171,Customer 0171,Consumer,North,Lucknow,2024-05-01,29,21,2025-12-25,585167.57,65477.84,Very High
C00172,Customer 0172,Consumer,West,Surat,2024-05-04,20,13,2025-12-08,185854.61,13597.61,Very High
C00173,Customer 0173,Consumer,East,Bhubaneswar,2026-03-14,29,13,2025-11-19,246332.69,20795.99,Very High
C00174,Customer 0174,Corporate,East,Guwahati,2025-10-26,34,14,2025-10-11,151990.48,8905.42,Very High
C00175,Customer 0175,Corporate,East,Bhubaneswar,2026-05-23,9,18,2025-11-02,459501.43,68085.61,Very High
C00176,Customer 0176,Corporate,West,Mumbai,2025-01-30,36,13,2025-05-17,137524.0,5116.62,Very High
C00177,Customer 0177,Consumer,North,Delhi,2023-11-25,18,24,2025-12-31,530479.69,93709.74,Very High
C00178,Customer 0178,Home Office,East,Bhubaneswar,2023-07-07,15,23,2025-12-05,247833.1,26984.6,Very High
C00179,Customer 0179,Home Office,East,Guwahati,2025-04-29,4,19,2025-10-28,497520.49,69994.09,Very High
C00180,Customer 0180,Consumer,East,Guwahati,2023-06-17,24,22,2025-11-23,325623.52,26499.14,Very High
C00181,Customer 0181,Consumer,South,Hyderabad,2023-07-22,42,16,2025-08-26,472522.91,57287.04,Very High
C00182,Customer 0182,Consumer,West,Pune,2024-08-10,31,17,2025-09-23,221769.39,10554.76,Very High
C00183,Customer 0183,Consumer,South,Kochi,2023-01-11,6,10,2025-11-16,185366.25,30100.71,Very High
C00184,Customer 0184,Consumer,North,Jaipur,2023-11-03,36,14,2025-11-14,307358.02,40967.57,Very High
C00185,Customer 0185,Corporate,East,Kolkata,2024-05-01,20,12,2025-11-29,328632.16,33897.59,Very High
C00186,Customer 0186,Consumer,North,Delhi,2025-07-25,5,23,2025-11-12,394704.24,43770.73,Very High
C00187,Customer 0187,Consumer,North,Lucknow,2023-02-03,41,12,2025-04-29,144919.63,25275.99,Very High
C00188,Customer 0188,Consumer,South,Bengaluru,2023-01-04,40,18,2025-09-13,348867.4,45312.69,Very High
C00189,Customer 0189,Consumer,West,Pune,2024-01-19,6,15,2025-12-16,318630.97,28813.07,Very High
C00190,Customer 0190,Home Office,West,Mumbai,2026-01-19,33,16,2025-11-29,284236.22,36326.09,Very High
C00191,Customer 0191,Home Office,North,Lucknow,2023-03-31,41,19,2025-11-14,302452.47,32519.99,Very High
C00192,Customer 0192,Consumer,East,Guwahati,2023-02-03,23,14,2025-11-14,251003.34,31937.99,Very High
C00193,Customer 0193,Consumer,North,Jaipur,2023-08-01,38,25,2025-10-21,467264.31,64163.61,Very High
C00194,Customer 0194,Consumer,West,Pune,2026-01-23,22,19,2025-10-28,383539.85,29899.49,Very High
C00195,Customer 0195,Home Office,South,Kochi,2025-09-07,41,14,2025-05-11,267564.21,29430.83,Very High
C00196,Customer 0196,Consumer,South,Bengaluru,2025-07-26,3,21,2025-10-07,341099.31,46954.54,Very High
C00197,Customer 0197,Consumer,West,Pune,2024-02-13,3,11,2025-11-21,272633.68,18387.24,Very High
C00198,Customer 0198,Consumer,West,Ahmedabad,2026-01-17,31,13,2025-12-05,272815.66,49635.88,Very High
C00199,Customer 0199,Corporate,West,Mumbai,2024-01-27,19,12,2025-05-10,196835.57,18712.42,Very High
C00200,Customer 0200,Home Office,West,Mumbai,2024-11-10,18,12,2025-04-27,191713.43,29922.87,Very High
C00201,Customer 0201,Consumer,North,Jaipur,2025-03-30,29,12,2025-06-18,185211.13,9046.32,Very High
C00202,Customer 0202,Home Office,East,Guwahati,2025-10-13,32,19,2025-12-22,458295.95,18088.01,Very High
C00203,Customer 0203,Corporate,West,Ahmedabad,2025-05-19,6,13,2025-08-27,260349.28,16260.84,Very High
C00204,Customer 0204,Consumer,East,Bhubaneswar,2024-10-19,7,16,2025-12-27,259669.49,20641.14,Very High
C00205,Customer 0205,Corporate,North,Jaipur,2024-09-19,29,15,2025-12-11,289424.71,17862.84,Very High
C00206,Customer 0206,Corporate,East,Bhubaneswar,2024-12-20,29,16,2025-12-11,188209.16,13199.12,Very High
C00207,Customer 0207,Consumer,North,Jaipur,2025-06-09,18,21,2025-12-15,286748.93,16628.9,Very High
C00208,Customer 0208,Corporate,North,Delhi,2025-04-11,24,9,2025-12-30,77835.55,2079.56,High
C00209,Customer 0209,Consumer,South,Hyderabad,2026-05-29,29,21,2025-09-22,560818.93,48708.2,Very High
C00210,Customer 0210,Consumer,North,Chandigarh,2025-01-20,24,16,2025-11-03,285130.69,20490.3,Very High
C00211,Customer 0211,Consumer,East,Kolkata,2025-07-10,24,14,2025-11-16,347777.28,56731.37,Very High
C00212,Customer 0212,Corporate,West,Surat,2026-03-21,9,16,2025-11-19,238809.45,22538.33,Very High
C00213,Customer 0213,Consumer,West,Surat,2024-07-24,16,8,2025-12-30,153403.89,4946.62,Very High
C00214,Customer 0214,Corporate,North,Delhi,2025-10-19,34,18,2025-12-23,352703.27,18186.18,Very High
C00215,Customer 0215,Consumer,East,Kolkata,2024-06-17,29,24,2025-12-03,535692.56,27154.77,Very High
C00216,Customer 0216,Corporate,South,Chennai,2025-10-02,13,14,2025-12-08,375264.01,37912.43,Very High
C00217,Customer 0217,Home Office,North,Chandigarh,2025-07-14,12,13,2025-05-12,367242.6,18685.4,Very High
C00218,Customer 0218,Corporate,East,Kolkata,2024-10-16,23,15,2025-10-03,152146.31,15469.71,Very High
C00219,Customer 0219,Home Office,North,Jaipur,2023-11-19,41,21,2025-12-22,444272.22,34363.61,Very High
C00220,Customer 0220,Consumer,South,Chennai,2023-09-06,13,25,2025-12-29,496988.41,61171.61,Very High
C00221,Customer 0221,Corporate,South,Bengaluru,2023-02-23,24,13,2025-11-10,300968.84,36228.06,Very High
C00222,Customer 0222,Corporate,West,Surat,2026-02-03,9,22,2025-11-07,469157.72,74595.45,Very High
C00223,Customer 0223,Consumer,North,Delhi,2025-09-07,34,18,2025-11-14,341158.45,-1250.92,Very High
C00224,Customer 0224,Home Office,East,Patna,2023-06-01,9,16,2025-12-06,341439.33,29686.61,Very High
C00225,Customer 0225,Consumer,West,Mumbai,2025-11-25,23,17,2025-12-07,268512.7,26163.55,Very High
C00226,Customer 0226,Corporate,South,Bengaluru,2023-09-22,28,14,2025-09-21,203503.35,5603.32,Very High
C00227,Customer 0227,Consumer,North,Delhi,2024-09-14,11,16,2025-11-27,234226.94,22442.07,Very High
C00228,Customer 0228,Home Office,South,Chennai,2024-04-06,23,15,2025-11-24,232360.95,26531.16,Very High
C00229,Customer 0229,Consumer,West,Mumbai,2026-02-02,18,20,2025-12-13,510153.06,43117.66,Very High
C00230,Customer 0230,Consumer,South,Chennai,2023-07-11,33,18,2025-11-13,306082.63,39097.64,Very High
C00231,Customer 0231,Consumer,South,Bengaluru,2026-05-24,22,16,2025-12-30,288715.05,47998.84,Very High
C00232,Customer 0232,Consumer,North,Delhi,2026-03-27,17,17,2025-11-10,551886.38,71698.43,Very High
C00233,Customer 0233,Consumer,South,Kochi,2023-03-04,32,14,2025-07-23,275834.88,35193.41,Very High
C00234,Customer 0234,Consumer,West,Ahmedabad,2025-04-11,20,13,2025-12-08,396803.47,35203.47,Very High
C00235,Customer 0235,Corporate,East,Kolkata,2023-11-20,29,16,2025-11-18,214138.75,17977.44,Very High
C00236,Customer 0236,Consumer,East,Patna,2024-11-27,39,14,2025-12-12,271043.22,7672.96,Very High
C00237,Customer 0237,Home Office,South,Chennai,2024-10-15,23,12,2025-01-15,141422.83,18134.11,Very High
C00238,Customer 0238,Corporate,East,Bhubaneswar,2025-11-20,36,11,2025-12-20,300460.14,9188.6,Very High
C00239,Customer 0239,Consumer,North,Jaipur,2023-09-08,18,15,2025-10-08,309440.37,44029.27,Very High
C00240,Customer 0240,Consumer,East,Bhubaneswar,2023-04-14,19,11,2025-12-11,261039.02,36375.78,Very High
C00241,Customer 0241,Consumer,East,Patna,2023-11-24,21,15,2025-11-18,415270.16,65386.49,Very High
C00242,Customer 0242,Corporate,West,Pune,2025-10-17,33,10,2025-12-21,163358.18,17496.85,Very High
C00243,Customer 0243,Home Office,East,Patna,2025-10-15,2,14,2025-06-15,220804.04,15280.57,Very High
C00244,Customer 0244,Consumer,North,Lucknow,2024-05-08,14,18,2025-10-09,407137.97,31407.29,Very High
C00245,Customer 0245,Consumer,West,Mumbai,2025-10-10,39,21,2025-11-02,493719.0,68584.98,Very High
C00246,Customer 0246,Consumer,East,Guwahati,2023-08-09,28,16,2025-10-08,248101.59,18163.17,Very High
C00247,Customer 0247,Corporate,South,Chennai,2025-04-05,24,10,2024-12-27,174236.58,-40.66,Very High
C00248,Customer 0248,Consumer,North,Lucknow,2026-02-24,13,11,2025-08-12,218595.26,4185.67,Very High
