order_id,order_date,customer_id,region,city,segment,order_status,payment_method
O000038,2023-05-03,C00466,North,Delhi,Consumer,Completed,UPI
O000039,2023-09-15,C00515,North,Chandigarh,Consumer,Completed,Debit Card
O000040,2025-06-17,C00377,West,Ahmedabad,Consumer,Completed,Debit Card
O000041,2023-03-22,C00741,East,Kolkata,Home Office,Completed,Credit Card
O000042,2024-01-18,C00118,East,Guwahati,Corporate,Completed,Wallet
O000043,2023-11-25,C00349,West,Mumbai,Corporate,Completed,Debit Card
O000044,2025-07-18,C00725,East,Bhubaneswar,Consumer,Completed,Credit Card
O000045,2023-02-08,C00618,South,Hyderabad,Consumer,Completed,UPI
O000046,2025-03-04,C00142,East,Patna,Corporate,Completed,Credit Card
O000047,2024-08-02,C00425,West,Mumbai,Consumer,Completed,Wallet
O000048,2023-05-17,C00177,North,Delhi,Consumer,Completed,UPI
O000049,2024-02-18,C00066,West,Surat,Home Office,Completed,Net Banking
O000050,2025-09-30,C00277,East,Patna,Consumer,Completed,Wallet
O000051,2023-05-26,C00601,East,Bhubaneswar,Consumer,Completed,UPI
O000052,2025-08-16,C00297,North,Chandigarh,Consumer,Completed,Debit Card
O000053,2023-04-30,C00269,West,Ahmedabad,Consumer,Completed,Credit Card
O000054,2025-11-29,C00338,East,Patna,Consumer,Completed,Wallet
O000055,2024-05-24,C00454,North,Delhi,Home Office,Completed,UPI
O000056,2025-01-03,C00702,West,Pune,Consumer,Completed,Credit Card
O000057,2025-04-02,C00465,West,Ahmedabad,Consumer,Completed,Debit Card
O000058,2024-10-07,C00276,North,Chandigarh,Consumer,Cancelled,Debit Card
O000059,2024-05-07,C00492,South,Kochi,Consumer,Completed,Debit Card
O000060,2025-01-07,C00302,East,Guwahati,Corporate,Completed,Wallet
O000061,2023-10-04,C00420,West,Ahmedabad,Home Office,Completed,Credit Card
O000062,2023-07-13,C00156,East,Bhubaneswar,Consumer,Completed,Debit Card
O000063,2024-05-26,C00421,North,Chandigarh,Consumer,Completed,Net Banking
O000064,2024-03-21,C00126,East,Kolkata,Consumer,Completed,Wallet
O000065,2023-07-15,C00646,East,Patna,Consumer,Completed,UPI
O000066,2023-04-25,C00499,North,Delhi,Home Office,Completed,Credit Card
O000067,2023-01-24,C00704,East,Kolkata,Consumer,Completed,Debit Card
O000068,2023-11-03,C00126,East,Kolkata,Consumer,Completed,Net Banking
O000069,2025-10-30,C00703,South,Hyderabad,Consumer,Completed,Debit Card
O000070,2023-06-19,C00188,South,Bengaluru,Consumer,Completed,Net Banking
O000071,2025-10-24,C00231,South,Bengaluru,Consumer,Completed,Credit Card
O000072,2025-09-26,C00564,East,Kolkata,Consumer,Completed,Wallet
O000073,2024-05-19,C00290,West,Mumbai,Consumer,Completed,Wallet
O000074,2023-07-03,C00343,North,Lucknow,Corporate,Completed,Credit Card
O000075,2024-10-18,C00401,West,Mumbai,Consumer,Completed,Debit Card
O000076,2025-06-24,C00533,North,Lucknow,Consumer,Completed,Debit Card
O000077,2023-11-16,C00100,North,Lucknow,Consumer,Completed,UPI
O000078,2024-09-16,C00182,West,Pune,Consumer,Completed,Credit Card
O000079,2025-12-07,C00665,South,Bengaluru,Consumer,Completed,Wallet
O000080,2023-03-31,C00026,North,Chandigarh,Consumer,Completed,Wallet
O000081,2024-07-09,C00049,North,Delhi,Home Office,Completed,Net Banking
O000082,2024-07-09,C00673,East,Patna,Consumer,Completed,Debit Card
O000083,2025-03-02,C00582,South,Bengaluru,Consumer,Completed,UPI
O000084,2024-10-08,C00311,East,Guwahati,Consumer,Completed,UPI
O000085,2024-05-21,C00093,East,Kolkata,Consumer,Completed,Debit Card
O000086,2024-09-11,C00193,North,Jaipur,Consumer,Returned,UPI
O000087,2024-06-11,C00552,East,Bhubaneswar,Consumer,Completed,Debit Card
O000088,2024-04-06,C00509,South,Bengaluru,Corporate,Completed,UPI
O000089,2025-02-21,C00343,North,Lucknow,Corporate,Completed,Net Banking
O000090,2024-05-07,C00726,North,Chandigarh,Consumer,Completed,Net Banking
O000091,2023-09-27,C00515,North,Chandigarh,Consumer,Completed,Credit Card
O000092,2023-10-10,C00674,North,Delhi,Corporate,Completed,Credit Card
O000093,2023-11-20,C00525,East,Patna,Corporate,Completed,Debit Card
O000094,2023-10-26,C00626,North,Jaipur,Corporate,Completed,Debit Card
O000095,2023-11-08,C00197,West,Pune,Consumer,Completed,Credit Card
O000096,2024-04-17,C00586,West,Ahmedabad,Consumer,Completed,Wallet
O000097,2025-08-18,C00452,South,Kochi,Consumer,Completed,Credit Card
O000098,2023-12-02,C00176,West,Mumbai,Corporate,Completed,Debit Card
O000099,2025-04-25,C00212,West,Surat,Corporate,Completed,Credit Card
O000100,2023-05-16,C00296,East,Guwahati,Consumer,Completed,Wallet
O000101,2025-09-30,C00319,South,Kochi,Consumer,Completed,UPI
O000102,2025-02-18,C00092,North,Lucknow,Home Office,Completed,Wallet
O000103,2025-12-11,C00595,South,Chennai,Corporate,Completed,Credit Card
O000104,2025-11-28,C00547,East,Patna,Consumer,Returned,Net Banking
O000105,2025-03-26,C00638,North,Jaipur,Corporate,Completed,UPI
O000106,2025-11-24,C00433,West,Ahmedabad,Consumer,Completed,Wallet
O000107,2023-10-05,C00139,East,Bhubaneswar,Consumer,Completed,Credit Card
O000108,2025-07-20,C00732,East,Guwahati,Corporate,Completed,Credit Card
O000109,2023-09-11,C00122,East,Kolkata,Home Office,Completed,UPI
O000110,2025-12-08,C00368,North,Jaipur,Home Office,Completed,Credit Card
O000111,2024-11-17,C00059,South,Kochi,Consumer,Completed,Debit Card
O000112,2025-07-02,C00340,North,Delhi,Home Office,Completed,Credit Card
O000113,2023-01-08,C00591,East,Kolkata,Consumer,Completed,Wallet
O000114,2023-01-12,C00304,North,Delhi,Home Office,Completed,Net Banking
O000115,2025-04-19,C00665,South,Bengaluru,Consumer,Completed,Wallet
O000116,2024-07-23,C00722,East,Guwahati,Consumer,Completed,Credit Card
O000117,2023-04-23,C00532,South,Hyderabad,Consumer,Completed,Wallet
O000118,2024-09-03,C00239,North,Jaipur,Consumer,Completed,Credit Card
O000119,2023-11-27,C00207,North,Jaipur,Consumer,Completed,Net Banking
O000120,2025-01-07,C00110,North,Jaipur,Consumer,Completed,Net Banking
O000121,2023-05-13,C00428,South,Chennai,Corporate,Completed,Debit Card
O000122,2024-11-05,C00229,West,Mumbai,Consumer,Completed,UPI
O000123,2025-09-17,C00349,West,Mumbai,Corporate,Completed,Net Banking
O000124,2024-10-10,C00699,West,Ahmedabad,Consumer,Completed,Wallet
O000125,2025-10-13,C00286,South,Bengaluru,Consumer,Completed,Credit Card
O000126,2023-01-04,C00481,South,Chennai,Corporate,Completed,Credit Card
O000127,2025-04-29,C00273,West,Ahmedabad,Consumer,Completed,Credit Card
O000128,2023-01-24,C00149,South,Bengaluru,Corporate,Completed,Debit Card
O000129,2025-11-03,C00210,North,Chandigarh,Consumer,Completed,Credit Card
O000130,2024-02-02,C00113,South,Hyderabad,Consumer,Completed,Net Banking
O000131,2023-03-14,C00601,East,Bhubaneswar,Consumer,Completed,Wallet
O000132,2024-11-17,C00192,East,Guwahati,Consumer,Completed,Debit Card
O000133,2023-02-08,C00445,East,Bhubaneswar,Corporate,Completed,Debit Card
O000134,2023-05-16,C00613,North,Chandigarh,Consumer,Completed,Wallet
O000135,2025-03-08,C00337,East,Bhubaneswar,Consumer,Completed,Debit Card
O000136,2024-10-06,C00128,West,Mumbai,Consumer,Completed,Wallet
O000137,2024-09-11,C00733,East,Kolkata,Consumer,Completed,Credit Card
O000138,2023-07-09,C00618,South,Hyderabad,Consumer,Completed,Wallet
O000139,2023-11-12,C00416,South,Kochi,Consumer,Completed,Debit Card
O000140,2023-10-21,C00113,South,Hyderabad,Consumer,Completed,UPI
O000141,2023-01-09,C00483,South,Bengaluru,Consumer,Completed,UPI
O000142,2024-11-13,C00642,East,Patna,Home Office,Completed,Debit Card
O000143,2024-03-05,C00071,South,Kochi,Consumer,Completed,Debit Card
O000144,2025-06-22,C00660,South,Bengaluru,Consumer,Completed,Wallet
O000145,2025-11-18,C00148,South,Bengaluru,Consumer,Completed,Debit Card
O000146,2024-05-16,C00649,South,Kochi,Home Office,Completed,Wallet
O000147,2025-06-27,C00302,East,Guwahati,Corporate,Completed,UPI
O000148,2023-08-05,C00721,West,Pune,Consumer,Completed,Wallet
O000149,2025-07-02,C00490,South,Hyderabad,Consumer,Completed,Wallet
O000150,2023-06-10,C00160,East,Guwahati,Corporate,Completed,Net Banking
O000151,2023-07-19,C00711,East,Guwahati,Consumer,Completed,Credit Card
O000152,2024-04-03,C00508,North,Delhi,Consumer,Completed,Debit Card
O000153,2025-03-13,C00193,North,Jaipur,Consumer,Completed,Debit Card
O000154,2025-07-17,C00212,West,Surat,Corporate,Completed,Credit Card
O000155,2024-08-01,C00666,West,Surat,Consumer,Completed,UPI
O000156,2024-10-29,C00747,South,Hyderabad,Consumer,Completed,Credit Card
O000157,2023-11-22,C00650,South,Kochi,Consumer,Completed,UPI
O000158,2025-09-23,C00019,West,Pune,Consumer,Completed,UPI
O000159,2025-06-30,C00683,North,Chandigarh,Consumer,Returned,UPI
O000160,2025-02-15,C00450,South,Chennai,Corporate,Completed,Credit Card
O000161,2023-10-12,C00416,South,Kochi,Consumer,Completed,Credit Card
O000162,2024-02-26,C00428,South,Chennai,Corporate,Completed,Debit Card
O000163,2025-06-09,C00179,East,Guwahati,Home Office,Completed,Wallet
O000164,2025-11-11,C00111,East,Patna,Consumer,Completed,Wallet
O000165,2023-04-19,C00699,West,Ahmedabad,Consumer,Completed,UPI
O000166,2024-07-31,C00540,East,Bhubaneswar,Consumer,Completed,Net Banking
O000167,2025-04-11,C00589,North,Lucknow,Corporate,Completed,Net Banking
O000168,2023-10-12,C00075,West,Pune,Consumer,Completed,Credit Card
O000169,2024-08-13,C00702,West,Pune,Consumer,Completed,Net Banking
O000170,2023-10-06,C00073,South,Kochi,Home Office,Completed,Wallet
O000171,2025-05-21,C00735,South,Bengaluru,Consumer,Completed,Net Banking
O000172,2024-12-28,C00324,South,Kochi,Consumer,Completed,Wallet
O000173,2024-07-05,C00722,East,Guwahati,Consumer,Completed,UPI
O000174,2025-09-16,C00686,North,Delhi,Corporate,Completed,Credit Card
O000175,2025-12-14,C00237,South,Chennai,Home Office,Returned,Debit Card
O000176,2023-04-19,C00209,South,Hyderabad,Consumer,Completed,Wallet
O000177,2024-11-09,C00327,North,Delhi,Consumer,Returned,UPI
O000178,2024-09-14,C00105,West,Pune,Consumer,Completed,Credit Card
O000179,2023-04-16,C00068,North,Lucknow,Home Office,Completed,Net Banking
O000180,2023-06-18,C00697,North,Delhi,Corporate,Completed,Debit Card
O000181,2023-09-29,C00398,South,Kochi,Corporate,Completed,Wallet
O000182,2023-12-24,C00452,South,Kochi,Consumer,Completed,Wallet
O000183,2023-11-12,C00627,West,Surat,Consumer,Completed,UPI
O000184,2024-06-25,C00117,West,Surat,Consumer,Completed,Wallet
O000185,2024-04-23,C00273,West,Ahmedabad,Consumer,Completed,Credit Card
O000186,2025-12-22,C00630,South,Bengaluru,Consumer,Completed,Wallet
O000187,2024-12-25,C00380,West,Mumbai,Home Office,Completed,Wallet
O000188,2024-02-04,C00516,South,Bengaluru,Consumer,Completed,UPI
O000189,2023-01-18,C00477,West,Mumbai,Consumer,Completed,Credit Card
O000190,2024-08-03,C00298,West,Surat,Consumer,Completed,UPI
O000191,2024-03-20,C00530,North,Chandigarh,Consumer,Completed,Wallet
O000192,2024-01-14,C00639,South,Chennai,Consumer,Completed,Net Banking
O000193,2024-07-20,C00219,North,Jaipur,Home Office,Completed,UPI
O000194,2024-07-21,C00309,South,Bengaluru,Home Office,Completed,Debit Card
O000195,2023-12-31,C00168,South,Bengaluru,Consumer,Completed,Credit Card
O000196,2025-10-04,C00420,West,Ahmedabad,Home Office,Completed,UPI
O000197,2025-06-23,C00145,East,Patna,Consumer,Completed,Debit Card
O000198,2025-07-02,C00392,West,Surat,Home Office,Completed,UPI
O000199,2023-03-19,C00609,South,Hyderabad,Consumer,Completed,Wallet
O000200,2023-01-08,C00193,North,Jaipur,Consumer,Completed,UPI
O000201,2024-04-07,C00423,North,Jaipur,Consumer,Completed,Net Banking
O000202,2023-09-06,C00723,South,Bengaluru,Consumer,Completed,Net Banking
O000203,2023-04-24,C00146,West,Pune,Consumer,Returned,Debit Card
O000204,2023-06-14,C00718,North,Delhi,Corporate,Completed,Net Banking
O000205,2024-01-27,C00690,South,Chennai,Consumer,Completed,Debit Card
O000206,2025-09-23,C00138,West,Ahmedabad,Consumer,Completed,Credit Card
O000207,2023-03-15,C00259,South,Hyderabad,Consumer,Completed,Net Banking
O000208,2025-03-07,C00262,South,Kochi,Corporate,Completed,Wallet
O000209,2025-07-09,C00442,North,Jaipur,Corporate,Completed,Credit Card
O000210,2025-12-07,C00166,East,Guwahati,Consumer,Completed,UPI
O000211,2023-10-17,C00082,North,Delhi,Consumer,Completed,UPI
O000212,2023-12-19,C00576,North,Delhi,Consumer,Completed,UPI
O000213,2023-08-06,C00051,North,Chandigarh,Home Office,Completed,UPI
O000214,2024-02-20,C00415,West,Mumbai,Consumer,Completed,Net Banking
O000215,2024-10-26,C00236,East,Patna,Consumer,Completed,Credit Card
O000216,2023-04-04,C00747,South,Hyderabad,Consumer,Completed,Net Banking
O000217,2023-12-11,C00342,South,Hyderabad,Consumer,Completed,Wallet
O000218,2025-02-09,C00426,West,Pune,Corporate,Completed,UPI
O000219,2024-08-04,C00705,East,Bhubaneswar,Consumer,Completed,Credit Card
O000220,2024-02-27,C00315,South,Bengaluru,Corporate,Completed,Credit Card
O000221,2023-12-24,C00547,East,Patna,Consumer,Completed,Debit Card
O000222,2024-12-13,C00039,South,Hyderabad,Home Office,Completed,UPI
O000223,2025-01-11,C00176,West,Mumbai,Corporate,Returned,Credit Card
O000224,2024-07-20,C00062,West,Mumbai,Home Office,Completed,Net Banking
O000225,2025-10-15,C00520,North,Lucknow,Consumer,Completed,Net Banking
O000226,2024-05-29,C00062,West,Mumbai,Home Office,Completed,UPI
O000227,2023-08-02,C00622,West,Surat,Consumer,Completed,Net Banking
O000228,2025-11-20,C00693,North,Chandigarh,Consumer,Completed,Debit Card
O000229,2025-05-08,C00328,South,Kochi,Consumer,Completed,UPI
O000230,2024-10-29,C00528,East,Kolkata,Consumer,Completed,Credit Card
O000231,2023-05-31,C00747,South,Hyderabad,Consumer,Completed,Wallet
O000232,2025-07-20,C00725,East,Bhubaneswar,Consumer,Completed,Credit Card
O000233,2025-01-04,C00632,North,Lucknow,Consumer,Completed,Net Banking
O000234,2025-07-28,C00405,South,Chennai,Home Office,Completed,Debit Card
O000235,2023-11-18,C00215,East,Kolkata,Consumer,Completed,Credit Card
O000236,2025-08-27,C00737,East,Patna,Consumer,Completed,Debit Card
O000237,2025-06-08,C00208,North,Delhi,Corporate,Completed,Wallet
O000238,2023-01-11,C00693,North,Chandigarh,Consumer,Completed,Wallet
O000239,2023-03-10,C00632,North,Lucknow,Consumer,Completed,UPI
O000240,2025-07-15,C00424,South,Chennai,Home Office,Completed,Net Banking
O000241,2024-03-22,C00506,East,Bhubaneswar,Consumer,Completed,UPI
O000242,2023-02-02,C00338,East,Patna,Consumer,Completed,Wallet
O000243,2023-02-19,C00244,North,Lucknow,Consumer,Completed,Net Banking
O000244,2023-01-03,C00229,West,Mumbai,Consumer,Completed,Net Banking
O000245,2024-07-06,C00511,West,Surat,Consumer,Completed,UPI
O000246,2024-11-18,C00234,West,Ahmedabad,Consumer,Completed,Debit Card
O000247,2025-08-11,C00367,East,Kolkata,Consumer,Completed,UPI
O000248,2024-02-24,C00419,South,Chennai,Home Office,Completed,Net Banking
O000249,2024-03-05,C00136,West,Mumbai,Consumer,Completed,Net Banking
O000250,2024-07-21,C00360,West,Surat,Consumer,Completed,Wallet
O000251,2025-12-14,C00570,East,Bhubaneswar,Home Office,Completed,UPI
O000252,2024-01-21,C00389,North,Delhi,Consumer,Completed,UPI
O000253,2023-08-12,C00688,North,Lucknow,Consumer,Completed,Credit Card
O000254,2024-02-23,C00096,South,Kochi,Corporate,Completed,Wallet
O000255,2023-09-28,C00113,South,Hyderabad,Consumer,Completed,Credit Card
O000256,2023-05-09,C00687,South,Hyderabad,Corporate,Completed,Wallet
O000257,2024-11-18,C00683,North,Chandigarh,Consumer,Completed,Wallet
O000258,2025-12-21,C00094,East,Kolkata,Consumer,Completed,Debit Card
O000259,2023-04-07,C00715,East,Patna,Consumer,Completed,Wallet
O000260,2023-11-26,C00324,South,Kochi,Consumer,Completed,Credit Card
O000261,2023-11-27,C00657,East,Patna,Corporate,Completed,Debit Card
O000262,2025-01-27,C00270,East,Guwahati,Home Office,Completed,Debit Card
O000263,2024-12-05,C00598,North,Delhi,Consumer,Completed,UPI
O000264,2023-02-21,C00560,East,Kolkata,Corporate,Completed,Net Banking
O000265,2024-10-17,C00448,North,Delhi,Consumer,Returned,Debit Card
O000266,2025-08-28,C00134,East,Patna,Consumer,Returned,Wallet
O000267,2025-06-24,C00271,North,Jaipur,Home Office,Completed,UPI
O000268,2023-10-13,C00084,East,Bhubaneswar,Consumer,Completed,Wallet
O000269,2024-02-04,C00538,West,Pune,Home Office,Completed,UPI
O000270,2023-06-21,C00106,North,Jaipur,Corporate,Completed,Wallet
O000271,2025-03-18,C00211,East,Kolkata,Consumer,Completed,UPI
O000272,2025-01-09,C00363,West,Pune,Consumer,Completed,Net Banking
O000273,2025-02-02,C00637,East,Kolkata,Home Office,Completed,Net Banking
O000274,2023-06-29,C00162,West,Ahmedabad,Corporate,Completed,Net Banking
O000275,2025-06-25,C00560,East,Kolkata,Corporate,Completed,Net Banking
O000276,2025-04-28,C00522,North,Chandigarh,Consumer,Completed,Credit Card
O000277,2024-09-13,C00317,West,Pune,Consumer,Completed,Wallet
O000278,2025-02-08,C00520,North,Lucknow,Consumer,Completed,Net Banking
O000279,2023-12-25,C00054,East,Bhubaneswar,Consumer,Completed,Wallet
O000280,2025-10-01,C00178,East,Bhubaneswar,Home Office,Completed,Wallet
O000281,2025-08-07,C00477,West,Mumbai,Consumer,Completed,Debit Card
O000282,2025-08-25,C00144,East,Guwahati,Consumer,Completed,Credit Card
O000283,2025-10-04,C00378,West,Pune,Home Office,Completed,Net Banking
O000284,2024-06-12,C00677,South,Bengaluru,Corporate,Completed,Wallet
O000285,2023-02-05,C00088,North,Lucknow,Consumer,Completed,Credit Card
O000286,2025-01-01,C00510,East,Guwahati,Consumer,Completed,Debit Card
O000287,2023-04-10,C00157,South,Hyderabad,Consumer,Completed,Wallet
O000288,2024-02-01,C00520,North,Lucknow,Consumer,Completed,Debit Card
O000289,2024-09-08,C00469,East,Bhubaneswar,Consumer,Completed,Wallet
O000290,2024-12-21,C00719,South,Hyderabad,Consumer,Completed,Credit Card
O000291,2025-10-27,C00172,West,Surat,Consumer,Completed,Wallet
O000292,2025-12-25,C00575,West,Ahmedabad,Home Office,Completed,Credit Card
O000293,2023-02-05,C00053,West,Surat,Home Office,Completed,Wallet
O000294,2025-12-07,C00168,South,Bengaluru,Consumer,Completed,Credit Card
O000295,2024-09-21,C00192,East,Guwahati,Consumer,Completed,UPI
O000296,2023-06-09,C00699,West,Ahmedabad,Consumer,Completed,Credit Card
O000297,2023-08-09,C00376,East,Guwahati,Consumer,Completed,Net Banking
O000298,2023-09-01,C00323,North,Lucknow,Home Office,Completed,UPI
O000299,2024-02-25,C00047,West,Surat,Corporate,Completed,Credit Card
O000300,2024-07-22,C00536,South,Bengaluru,Consumer,Completed,Wallet
O000301,2023-05-20,C00728,West,Mumbai,Corporate,Completed,Credit Card
O000302,2024-01-28,C00145,East,Patna,Consumer,Completed,Wallet
O000303,2025-08-30,C00631,West,Mumbai,Consumer,Completed,UPI
O000304,2024-01-06,C00740,South,Hyderabad,Consumer,Returned,Debit Card
O000305,2023-09-11,C00178,East,Bhubaneswar,Home Office,Completed,Debit Card
O000306,2023-03-25,C00566,North,Lucknow,Home Office,Completed,Net Banking
O000307,2024-09-30,C00338,East,Patna,Consumer,Completed,Net Banking
O000308,2024-01-22,C00067,North,Chandigarh,Corporate,Completed,UPI
O000309,2025-10-03,C00497,East,Patna,Consumer,Completed,UPI
O000310,2023-12-12,C00248,North,Lucknow,Consumer,Returned,Net Banking
O000311,2023-09-09,C00132,North,Delhi,Consumer,Completed,Wallet
O000312,2024-07-13,C00474,West,Mumbai,Consumer,Completed,Net Banking
O000313,2025-09-19,C00745,North,Chandigarh,Consumer,Completed,Net Banking
O000314,2025-10-15,C00268,South,Kochi,Consumer,Completed,Net Banking
O000315,2023-02-24,C00427,South,Chennai,Home Office,Completed,UPI
O000316,2025-11-30,C00169,North,Jaipur,Home Office,Completed,Wallet
O000317,2023-02-06,C00171,North,Lucknow,Consumer,Completed,Net Banking
O000318,2025-06-25,C00627,West,Surat,Consumer,Completed,Debit Card
O000319,2023-12-03,C00124,East,Bhubaneswar,Home Office,Completed,Wallet
O000320,2025-08-20,C00450,South,Chennai,Corporate,Completed,Net Banking
O000321,2025-02-12,C00288,South,Kochi,Consumer,Completed,UPI
O000322,2023-04-03,C00397,South,Bengaluru,Consumer,Completed,Wallet
O000323,2023-02-25,C00024,North,Lucknow,Consumer,Completed,Net Banking
O000324,2024-12-20,C00502,East,Bhubaneswar,Consumer,Completed,UPI
O000325,2023-05-15,C00623,East,Bhubaneswar,Corporate,Completed,Net Banking
O000326,2025-11-20,C00064,South,Hyderabad,Consumer,Completed,Net Banking
O000327,2023-07-24,C00243,East,Patna,Home Office,Completed,Debit Card
O000328,2023-12-08,C00067,North,Chandigarh,Corporate,Completed,Wallet
O000329,2024-03-14,C00311,East,Guwahati,Consumer,Completed,Net Banking
O000330,2024-04-07,C00095,East,Patna,Consumer,Returned,Wallet
O000331,2024-11-20,C00381,South,Hyderabad,Home Office,Completed,Debit Card
O000332,2023-06-07,C00269,West,Ahmedabad,Consumer,Completed,Wallet
O000333,2024-10-03,C00514,North,Chandigarh,Corporate,Completed,Wallet
O000334,2024-01-05,C00503,North,Lucknow,Consumer,Completed,Net Banking
O000335,2024-07-02,C00607,West,Pune,Consumer,Completed,UPI
O000336,2025-12-05,C00262,South,Kochi,Corporate,Completed,Debit Card
O000337,2025-06-10,C00747,South,Hyderabad,Consumer,Completed,Credit Card
O000338,2025-04-24,C00167,South,Chennai,Home Office,Completed,Wallet
O000339,2024-04-28,C00354,North,Chandigarh,Home Office,Completed,Credit Card
O000340,2024-09-27,C00646,East,Patna,Consumer,Completed,UPI
O000341,2024-02-18,C00473,East,Bhubaneswar,Consumer,Completed,Debit Card
O000342,2023-12-27,C00282,North,Jaipur,Consumer,Completed,Debit Card
O000343,2023-05-11,C00480,South,Bengaluru,Consumer,Completed,Credit Card
O000344,2024-04-28,C00309,South,Bengaluru,Home Office,Completed,Wallet
O000345,2025-12-11,C00485,East,Guwahati,Consumer,Completed,Debit Card
O000346,2024-11-05,C00211,East,Kolkata,Consumer,Completed,Net Banking
O000347,2024-06-04,C00178,East,Bhubaneswar,Home Office,Completed,Wallet
O000348,2025-05-17,C00398,South,Kochi,Corporate,Completed,Credit Card
O000349,2025-01-13,C00704,East,Kolkata,Consumer,Completed,Wallet
O000350,2023-03-13,C00243,East,Patna,Home Office,Completed,Credit Card
O000351,2024-06-02,C00709,West,Pune,Corporate,Completed,UPI
O000352,2025-12-31,C00177,North,Delhi,Consumer,Completed,Credit Card
O000353,2024-09-01,C00521,West,Pune,Home Office,Completed,Debit Card
O000354,2025-04-12,C00344,East,Kolkata,Consumer,Completed,Net Banking
O000355,2024-11-12,C00555,South,Hyderabad,Home Office,Completed,Debit Card
O000356,2025-05-11,C00464,North,Chandigarh,Corporate,Completed,UPI
O000357,2023-04-17,C00149,South,Bengaluru,Corporate,Completed,UPI
O000358,2025-03-31,C00331,West,Ahmedabad,Consumer,Completed,UPI
O000359,2023-11-20,C00105,West,Pune,Consumer,Completed,Credit Card
O000360,2025-04-20,C00486,North,Chandigarh,Corporate,Completed,Wallet
O000361,2024-11-01,C00652,West,Ahmedabad,Home Office,Completed,UPI
O000362,2024-04-13,C00599,North,Lucknow,Consumer,Returned,Net Banking
O000363,2025-05-28,C00060,West,Surat,Corporate,Completed,Wallet
O000364,2023-08-29,C00590,East,Guwahati,Consumer,Completed,Net Banking
O000365,2025-10-09,C00642,East,Patna,Home Office,Completed,Debit Card
O000366,2024-08-12,C00334,South,Chennai,Consumer,Completed,Credit Card
O000367,2024-08-02,C00571,West,Mumbai,Consumer,Completed,UPI
O000368,2024-08-17,C00224,East,Patna,Home Office,Completed,UPI
O000369,2023-01-22,C00274,South,Hyderabad,Corporate,Completed,Credit Card
O000370,2025-02-24,C00531,North,Jaipur,Consumer,Completed,UPI
O000371,2023-04-17,C00303,North,Delhi,Consumer,Completed,Wallet
O000372,2023-04-04,C00742,South,Kochi,Consumer,Completed,Net Banking
